A2,A3,A4,A5,A6,A7,A10,A12,A13,A14,A1,A8,A9,A11,outcome
136.0,46.0,1.0,8.0,4.0,37.0,1.0,2.0,1.0,81.0,1.0,1.0,0.0,1.0,0
?,166.0,2.0,14.0,8.0,13.0,2.0,2.0,32.0,1.0,1.0,1.0,1.0,?,1
249.0,47.0,2.0,3.0,5.0,73.0,1.0,2.0,76.0,1.0,1.0,0.0,0.0,0.0,1
108.0,138.0,2.0,6.0,4.0,35.0,1.0,2.0,53.0,66.0,0.0,1.0,0.0,0.0,1
84.0,175.0,2.0,8.0,4.0,49.0,1.0,1.0,24.0,1.0,1.0,0.0,0.0,0.0,0
38.0,?,2.0,11.0,4.0,2.0,1.0,2.0,124.0,1.0,0.0,?,0.0,?,0
92.0,180.0,?,6.0,?,37.0,13.0,2.0,38.0,121.0,0.0,1.0,1.0,1.0,1
72.0,12.0,?,?,4.0,20.0,1.0,1.0,53.0,?,0.0,0.0,0.0,0.0,0
105.0,?,2.0,13.0,?,14.0,1.0,2.0,1.0,?,1.0,0.0,0.0,0.0,0
?,173.0,2.0,14.0,8.0,14.0,3.0,?,102.0,119.0,0.0,1.0,1.0,1.0,1
242.0,?,2.0,3.0,5.0,1.0,1.0,1.0,102.0,1.0,1.0,0.0,0.0,0.0,0
66.0,61.0,2.0,?,4.0,4.0,1.0,?,53.0,?,1.0,0.0,0.0,0.0,0
78.0,?,2.0,?,4.0,3.0,1.0,?,1.0,1.0,?,1.0,?,0.0,1
?,102.0,2.0,?,4.0,10.0,3.0,2.0,1.0,31.0,1.0,1.0,1.0,?,0
83.0,16.0,1.0,9.0,4.0,61.0,7.0,2.0,72.0,100.0,1.0,1.0,1.0,1.0,0
33.0,141.0,1.0,?,4.0,26.0,5.0,2.0,?,115.0,0.0,?,?,1.0,1
176.0,63.0,2.0,2.0,8.0,95.0,1.0,?,101.0,1.0,1.0,0.0,0.0,?,0
204.0,31.0,2.0,6.0,4.0,20.0,5.0,2.0,1.0,175.0,?,1.0,1.0,0.0,1
66.0,176.0,2.0,8.0,4.0,72.0,3.0,2.0,63.0,72.0,1.0,0.0,1.0,1.0,0
331.0,70.0,2.0,9.0,4.0,43.0,6.0,?,18.0,39.0,1.0,1.0,1.0,1.0,1
103.0,78.0,2.0,?,8.0,53.0,2.0,2.0,135.0,22.0,1.0,0.0,1.0,1.0,0
35.0,1.0,1.0,7.0,5.0,1.0,1.0,1.0,152.0,2.0,1.0,?,0.0,1.0,1
92.0,73.0,2.0,11.0,?,44.0,19.0,2.0,1.0,115.0,?,1.0,1.0,0.0,1
206.0,67.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,150.0,1.0,0.0,?,?,0
8.0,2.0,2.0,8.0,4.0,2.0,1.0,2.0,1.0,?,1.0,0.0,0.0,?,1
295.0,188.0,2.0,4.0,8.0,?,1.0,2.0,?,1.0,0.0,1.0,0.0,1.0,1
246.0,119.0,2.0,11.0,4.0,14.0,4.0,2.0,48.0,1.0,0.0,?,1.0,1.0,1
11.0,40.0,2.0,11.0,4.0,7.0,2.0,?,34.0,48.0,0.0,0.0,1.0,0.0,0
109.0,10.0,2.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1
43.0,40.0,2.0,?,?,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0
197.0,40.0,1.0,3.0,8.0,14.0,?,2.0,53.0,1.0,0.0,0.0,0.0,1.0,0
25.0,151.0,2.0,9.0,4.0,26.0,2.0,2.0,38.0,2.0,0.0,0.0,1.0,0.0,0
154.0,161.0,2.0,11.0,8.0,3.0,?,2.0,?,4.0,0.0,0.0,1.0,1.0,0
84.0,25.0,2.0,9.0,4.0,7.0,2.0,2.0,86.0,5.0,0.0,0.0,1.0,?,0
15.0,144.0,2.0,6.0,4.0,43.0,11.0,2.0,1.0,11.0,0.0,0.0,1.0,1.0,0
76.0,54.0,2.0,5.0,3.0,1.0,2.0,2.0,69.0,37.0,0.0,0.0,1.0,0.0,0
47.0,127.0,2.0,4.0,4.0,?,2.0,2.0,53.0,83.0,?,1.0,1.0,0.0,1
90.0,186.0,1.0,6.0,4.0,2.0,1.0,2.0,38.0,113.0,1.0,0.0,0.0,1.0,0
225.0,80.0,2.0,9.0,?,76.0,?,?,126.0,168.0,1.0,1.0,1.0,0.0,1
43.0,5.0,2.0,11.0,4.0,26.0,2.0,2.0,86.0,136.0,0.0,?,1.0,0.0,1
85.0,22.0,2.0,8.0,4.0,5.0,1.0,2.0,?,1.0,1.0,0.0,?,0.0,1
90.0,52.0,?,8.0,4.0,5.0,1.0,2.0,43.0,1.0,0.0,0.0,0.0,0.0,0
179.0,66.0,1.0,9.0,4.0,101.0,1.0,2.0,98.0,1.0,?,0.0,0.0,?,0
188.0,109.0,1.0,8.0,4.0,37.0,1.0,?,18.0,1.0,1.0,?,0.0,?,0
103.0,180.0,2.0,13.0,4.0,30.0,23.0,2.0,45.0,89.0,1.0,1.0,1.0,1.0,1
95.0,180.0,2.0,6.0,4.0,65.0,1.0,1.0,3.0,1.0,1.0,1.0,?,1.0,1
16.0,?,2.0,3.0,4.0,?,1.0,2.0,18.0,50.0,1.0,0.0,0.0,0.0,0
2.0,123.0,2.0,10.0,?,26.0,?,2.0,161.0,1.0,1.0,0.0,0.0,?,0
211.0,92.0,2.0,11.0,4.0,73.0,1.0,?,144.0,36.0,1.0,0.0,0.0,0.0,0
97.0,115.0,2.0,8.0,4.0,26.0,?,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1
152.0,43.0,2.0,9.0,8.0,2.0,4.0,?,1.0,29.0,0.0,0.0,1.0,0.0,0
305.0,43.0,1.0,8.0,8.0,114.0,1.0,2.0,69.0,?,1.0,1.0,0.0,1.0,0
285.0,82.0,2.0,6.0,4.0,73.0,1.0,1.0,82.0,1.0,1.0,1.0,?,0.0,1
?,191.0,2.0,9.0,4.0,111.0,7.0,2.0,20.0,1.0,1.0,1.0,1.0,1.0,1
?,1.0,2.0,4.0,?,26.0,12.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0
?,?,2.0,4.0,4.0,3.0,1.0,2.0,116.0,?,1.0,?,?,1.0,0
63.0,18.0,1.0,14.0,4.0,2.0,2.0,2.0,167.0,40.0,1.0,1.0,1.0,?,1
10.0,9.0,?,?,4.0,4.0,1.0,2.0,69.0,2.0,0.0,0.0,?,0.0,0
?,?,2.0,?,5.0,6.0,1.0,2.0,158.0,1.0,?,0.0,0.0,0.0,0
103.0,11.0,1.0,8.0,4.0,37.0,1.0,2.0,53.0,1.0,1.0,0.0,0.0,?,0
124.0,46.0,2.0,7.0,4.0,47.0,1.0,1.0,118.0,1.0,0.0,1.0,0.0,0.0,0
?,27.0,2.0,9.0,4.0,8.0,2.0,2.0,136.0,91.0,1.0,0.0,?,0.0,0
13.0,4.0,1.0,8.0,4.0,2.0,1.0,2.0,45.0,?,1.0,0.0,0.0,0.0,0
229.0,?,2.0,13.0,4.0,73.0,11.0,2.0,1.0,1.0,1.0,1.0,1.0,?,1
71.0,?,1.0,6.0,4.0,15.0,?,2.0,38.0,42.0,1.0,?,0.0,1.0,0
95.0,178.0,2.0,13.0,8.0,73.0,7.0,2.0,131.0,112.0,0.0,1.0,1.0,?,1
47.0,160.0,1.0,14.0,8.0,1.0,1.0,2.0,51.0,28.0,0.0,0.0,0.0,1.0,0
40.0,?,2.0,11.0,4.0,47.0,3.0,2.0,24.0,1.0,1.0,?,1.0,1.0,1
90.0,17.0,2.0,11.0,8.0,37.0,1.0,2.0,98.0,141.0,0.0,1.0,0.0,0.0,1
63.0,17.0,2.0,8.0,4.0,4.0,1.0,2.0,117.0,1.0,1.0,0.0,0.0,0.0,0
163.0,?,2.0,2.0,4.0,24.0,1.0,1.0,168.0,1.0,1.0,1.0,0.0,1.0,0
50.0,104.0,1.0,5.0,4.0,8.0,1.0,2.0,?,74.0,1.0,0.0,0.0,0.0,0
82.0,77.0,1.0,4.0,4.0,11.0,2.0,2.0,98.0,?,1.0,0.0,1.0,1.0,0
122.0,193.0,2.0,14.0,8.0,67.0,2.0,?,38.0,12.0,0.0,1.0,1.0,0.0,1
97.0,82.0,2.0,?,4.0,17.0,8.0,?,1.0,223.0,1.0,?,1.0,0.0,1
47.0,123.0,?,8.0,4.0,40.0,4.0,2.0,69.0,170.0,1.0,1.0,1.0,0.0,1
141.0,?,1.0,14.0,?,26.0,1.0,2.0,98.0,14.0,0.0,0.0,0.0,0.0,0
?,30.0,1.0,8.0,8.0,7.0,1.0,2.0,98.0,78.0,1.0,0.0,0.0,0.0,0
23.0,122.0,1.0,7.0,4.0,2.0,1.0,?,45.0,1.0,1.0,0.0,0.0,0.0,0
280.0,132.0,2.0,?,5.0,?,7.0,2.0,123.0,239.0,0.0,1.0,1.0,0.0,1
13.0,10.0,?,11.0,4.0,9.0,5.0,2.0,53.0,9.0,1.0,0.0,1.0,0.0,0
159.0,46.0,1.0,9.0,4.0,2.0,1.0,1.0,53.0,1.0,1.0,0.0,0.0,0.0,0
31.0,127.0,2.0,11.0,?,62.0,6.0,2.0,65.0,236.0,0.0,1.0,1.0,0.0,1
75.0,170.0,2.0,13.0,4.0,?,1.0,2.0,?,169.0,0.0,1.0,?,0.0,1
140.0,40.0,2.0,8.0,8.0,7.0,?,2.0,131.0,52.0,?,0.0,1.0,1.0,0
79.0,87.0,2.0,8.0,5.0,7.0,1.0,2.0,53.0,1.0,1.0,1.0,0.0,1.0,1
123.0,73.0,2.0,7.0,4.0,64.0,2.0,2.0,98.0,11.0,0.0,0.0,?,1.0,0
221.0,154.0,2.0,14.0,4.0,58.0,7.0,2.0,156.0,?,1.0,1.0,1.0,0.0,1
285.0,130.0,2.0,9.0,8.0,127.0,13.0,2.0,1.0,138.0,1.0,1.0,1.0,0.0,1
235.0,92.0,2.0,8.0,5.0,99.0,17.0,2.0,37.0,160.0,1.0,1.0,1.0,0.0,1
238.0,18.0,1.0,6.0,4.0,14.0,4.0,2.0,69.0,150.0,1.0,1.0,1.0,0.0,1
201.0,?,1.0,8.0,4.0,76.0,1.0,2.0,24.0,1.0,1.0,1.0,0.0,0.0,0
189.0,119.0,2.0,6.0,?,4.0,1.0,2.0,142.0,1.0,?,1.0,0.0,?,0
151.0,17.0,2.0,?,8.0,?,1.0,1.0,88.0,1.0,1.0,0.0,0.0,1.0,0
81.0,?,1.0,11.0,4.0,37.0,3.0,2.0,24.0,109.0,0.0,1.0,?,1.0,1
336.0,183.0,1.0,8.0,8.0,?,1.0,2.0,36.0,1.0,?,?,0.0,0.0,0
56.0,?,2.0,8.0,4.0,?,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1
197.0,87.0,2.0,2.0,5.0,119.0,1.0,2.0,65.0,1.0,?,1.0,0.0,1.0,0
200.0,212.0,2.0,14.0,8.0,40.0,2.0,?,154.0,115.0,1.0,?,1.0,1.0,1
?,7.0,2.0,?,4.0,?,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
309.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,19.0,26.0,0.0,0.0,0.0,1.0,0
?,139.0,2.0,6.0,4.0,34.0,1.0,2.0,1.0,1.0,?,1.0,0.0,1.0,1
?,109.0,2.0,11.0,4.0,4.0,1.0,2.0,81.0,1.0,0.0,1.0,0.0,1.0,1
153.0,119.0,2.0,8.0,5.0,76.0,8.0,2.0,1.0,201.0,0.0,1.0,1.0,1.0,1
124.0,55.0,2.0,14.0,8.0,26.0,5.0,2.0,45.0,224.0,1.0,1.0,1.0,0.0,1
192.0,92.0,2.0,3.0,5.0,71.0,3.0,2.0,96.0,?,1.0,1.0,1.0,0.0,1
94.0,40.0,2.0,1.0,1.0,1.0,1.0,2.0,24.0,1.0,0.0,1.0,0.0,?,0
184.0,10.0,2.0,3.0,5.0,76.0,1.0,1.0,136.0,1.0,1.0,0.0,0.0,1.0,0
182.0,?,1.0,6.0,?,?,?,2.0,63.0,1.0,0.0,0.0,0.0,?,0
77.0,66.0,2.0,?,4.0,28.0,12.0,?,18.0,186.0,1.0,1.0,1.0,1.0,1
198.0,66.0,2.0,9.0,?,1.0,1.0,2.0,85.0,77.0,1.0,1.0,?,1.0,1
27.0,141.0,2.0,11.0,4.0,30.0,5.0,2.0,?,?,0.0,1.0,1.0,0.0,1
259.0,40.0,2.0,7.0,4.0,123.0,2.0,2.0,115.0,54.0,1.0,0.0,1.0,?,0
222.0,115.0,2.0,4.0,4.0,26.0,1.0,2.0,1.0,1.0,0.0,1.0,?,1.0,1
339.0,6.0,2.0,1.0,1.0,1.0,2.0,2.0,84.0,50.0,?,1.0,1.0,0.0,1
101.0,13.0,2.0,7.0,4.0,?,4.0,2.0,92.0,?,1.0,1.0,?,0.0,1
97.0,73.0,2.0,8.0,4.0,31.0,2.0,2.0,?,23.0,1.0,0.0,1.0,0.0,0
333.0,193.0,2.0,1.0,1.0,130.0,16.0,2.0,1.0,150.0,1.0,1.0,1.0,?,1
?,181.0,2.0,6.0,4.0,53.0,4.0,2.0,52.0,?,0.0,1.0,1.0,1.0,1
?,115.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,?,0.0,0.0,?,0
38.0,?,2.0,4.0,4.0,8.0,1.0,2.0,98.0,103.0,1.0,0.0,0.0,0.0,0
290.0,136.0,2.0,8.0,8.0,119.0,10.0,2.0,?,177.0,1.0,1.0,?,0.0,1
?,52.0,2.0,4.0,4.0,14.0,1.0,2.0,102.0,3.0,1.0,?,0.0,1.0,0
92.0,18.0,2.0,7.0,4.0,26.0,1.0,2.0,38.0,2.0,?,0.0,0.0,1.0,0
76.0,26.0,2.0,7.0,4.0,14.0,1.0,1.0,?,1.0,1.0,0.0,0.0,1.0,0
329.0,69.0,2.0,?,4.0,56.0,1.0,2.0,?,1.0,1.0,0.0,0.0,1.0,0
5.0,72.0,2.0,?,4.0,3.0,1.0,2.0,38.0,1.0,0.0,0.0,0.0,0.0,0
274.0,73.0,2.0,8.0,4.0,55.0,9.0,2.0,?,208.0,0.0,1.0,?,1.0,1
259.0,?,2.0,11.0,4.0,82.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1
308.0,196.0,2.0,8.0,4.0,93.0,15.0,2.0,1.0,188.0,0.0,1.0,1.0,0.0,1
137.0,13.0,2.0,8.0,4.0,8.0,?,2.0,77.0,62.0,1.0,?,0.0,0.0,0
262.0,102.0,2.0,3.0,5.0,52.0,1.0,2.0,46.0,1.0,1.0,0.0,0.0,1.0,0
237.0,17.0,2.0,7.0,4.0,7.0,1.0,1.0,99.0,1.0,?,1.0,0.0,0.0,0
224.0,?,2.0,8.0,4.0,10.0,3.0,2.0,80.0,115.0,1.0,0.0,1.0,?,0
150.0,109.0,2.0,4.0,?,93.0,1.0,1.0,32.0,1.0,0.0,0.0,0.0,1.0,0
64.0,131.0,1.0,3.0,5.0,?,1.0,2.0,65.0,1.0,1.0,?,?,1.0,0
103.0,60.0,1.0,6.0,4.0,76.0,1.0,2.0,67.0,1.0,1.0,?,0.0,0.0,0
307.0,119.0,2.0,4.0,4.0,98.0,16.0,2.0,1.0,231.0,1.0,1.0,1.0,?,1
195.0,35.0,2.0,7.0,4.0,29.0,1.0,?,7.0,1.0,1.0,0.0,0.0,0.0,0
37.0,126.0,2.0,7.0,4.0,2.0,2.0,2.0,32.0,2.0,1.0,0.0,1.0,0.0,0
?,20.0,?,6.0,4.0,?,1.0,2.0,92.0,151.0,0.0,0.0,0.0,0.0,0
168.0,94.0,2.0,13.0,8.0,?,4.0,2.0,105.0,94.0,1.0,1.0,1.0,0.0,1
302.0,73.0,1.0,1.0,1.0,37.0,?,2.0,63.0,5.0,1.0,0.0,0.0,0.0,0
77.0,?,2.0,9.0,8.0,50.0,12.0,2.0,?,?,1.0,1.0,1.0,?,1
172.0,46.0,2.0,8.0,4.0,7.0,1.0,2.0,122.0,58.0,?,0.0,0.0,1.0,0
114.0,69.0,1.0,13.0,4.0,90.0,2.0,2.0,74.0,1.0,1.0,?,1.0,0.0,1
124.0,56.0,2.0,9.0,4.0,7.0,1.0,2.0,63.0,36.0,0.0,0.0,0.0,1.0,0
222.0,154.0,1.0,4.0,4.0,?,1.0,2.0,?,1.0,1.0,0.0,0.0,0.0,0
117.0,61.0,2.0,3.0,5.0,14.0,1.0,2.0,162.0,206.0,1.0,?,0.0,1.0,0
189.0,3.0,?,7.0,5.0,2.0,2.0,2.0,98.0,180.0,1.0,1.0,1.0,1.0,1
40.0,9.0,?,11.0,8.0,8.0,12.0,2.0,24.0,49.0,0.0,1.0,1.0,0.0,1
62.0,164.0,2.0,14.0,4.0,8.0,7.0,?,39.0,1.0,1.0,1.0,1.0,0.0,1
73.0,164.0,?,11.0,4.0,58.0,8.0,2.0,32.0,140.0,1.0,1.0,1.0,1.0,1
32.0,83.0,1.0,1.0,1.0,1.0,1.0,2.0,63.0,2.0,1.0,?,?,1.0,0
319.0,198.0,2.0,?,1.0,1.0,16.0,2.0,1.0,87.0,0.0,?,1.0,0.0,1
185.0,13.0,?,13.0,4.0,10.0,?,2.0,102.0,35.0,0.0,0.0,?,0.0,1
294.0,204.0,2.0,1.0,1.0,1.0,?,2.0,29.0,1.0,1.0,1.0,1.0,0.0,0
326.0,124.0,2.0,7.0,4.0,124.0,7.0,2.0,117.0,167.0,1.0,1.0,1.0,1.0,1
147.0,107.0,2.0,10.0,2.0,?,6.0,2.0,31.0,115.0,0.0,1.0,1.0,1.0,1
35.0,20.0,1.0,6.0,4.0,16.0,1.0,2.0,53.0,1.0,0.0,1.0,0.0,1.0,0
163.0,167.0,2.0,?,1.0,1.0,1.0,2.0,65.0,215.0,0.0,0.0,0.0,0.0,0
126.0,46.0,2.0,9.0,4.0,?,12.0,2.0,140.0,30.0,1.0,1.0,1.0,1.0,1
?,42.0,?,3.0,5.0,4.0,1.0,2.0,141.0,210.0,1.0,0.0,0.0,1.0,0
230.0,?,2.0,8.0,?,?,1.0,2.0,149.0,?,0.0,0.0,0.0,0.0,0
?,73.0,2.0,13.0,8.0,103.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1
160.0,85.0,2.0,13.0,8.0,17.0,?,2.0,64.0,1.0,0.0,1.0,1.0,?,1
?,26.0,2.0,11.0,8.0,63.0,2.0,2.0,110.0,145.0,0.0,1.0,1.0,0.0,1
170.0,87.0,2.0,7.0,4.0,58.0,1.0,2.0,117.0,1.0,1.0,1.0,0.0,1.0,1
170.0,87.0,1.0,13.0,4.0,37.0,1.0,2.0,38.0,1.0,1.0,0.0,0.0,1.0,0
65.0,164.0,2.0,13.0,4.0,18.0,?,2.0,32.0,1.0,1.0,1.0,0.0,0.0,1
190.0,106.0,2.0,9.0,4.0,3.0,1.0,2.0,100.0,7.0,1.0,0.0,0.0,1.0,1
32.0,145.0,2.0,6.0,4.0,?,1.0,2.0,32.0,1.0,0.0,1.0,0.0,0.0,1
145.0,40.0,1.0,4.0,4.0,7.0,1.0,2.0,79.0,1.0,1.0,0.0,0.0,0.0,0
