company1,company2,company3,company4,company5,company6,company7,company8,company9,outcome
?,54.75,21.875,42.875,?,?,66.25,?,?,1
?,25.0,?,37.375,49.875,?,?,?,?,1
?,?,?,?,?,24.0,?,27.125,?,1
28.328000000000003,?,?,?,78.125,34.5,70.5,20.625,?,1
26.281,?,22.625,43.625,?,32.25,66.0,?,?,1
?,49.375,?,39.0,63.875,29.875,63.5,19.625,?,1
26.438000000000002,?,20.125,?,83.5,?,?,21.75,43.625,1
28.891,50.75,?,?,?,?,72.25,21.5,45.875,1
38.0,?,15.5,44.25,?,17.25,?,23.0,49.25,0
52.25,?,17.375,52.75,43.375,?,?,?,40.625,0
29.219,50.75,?,?,?,?,73.75,22.625,47.625,1
?,?,19.5,39.5,?,25.625,68.875,?,41.0,1
?,?,?,?,?,?,?,27.625,37.75,0
?,58.375,20.375,?,?,?,?,?,?,0
?,?,?,?,47.625,16.75,63.25,?,39.0,0
?,46.25,?,?,?,?,?,?,48.375,0
28.063000000000002,?,21.125,?,?,30.75,?,21.125,43.0,1
?,37.875,13.875,38.75,54.5,16.25,?,?,?,0
41.422,36.25,?,?,52.875,17.875,?,21.5,?,0
?,50.125,?,?,84.0,?,68.75,?,44.0,1
44.875,25.375,19.25,?,?,?,?,?,?,0
?,?,19.0,49.875,67.5,?,?,27.125,?,0
?,52.0,18.375,?,68.625,?,80.625,?,47.125,0
?,?,?,50.125,70.75,?,?,?,?,0
34.172,?,?,?,?,25.625,73.375,22.25,?,0
?,23.875,15.625,49.375,40.5,26.125,77.875,28.875,40.875,0
?,?,?,51.5,72.375,24.375,80.75,23.875,?,0
37.422,?,?,?,72.625,23.75,?,24.375,47.375,0
?,?,15.75,?,?,15.875,64.625,24.375,37.625,1
?,32.125,16.25,?,34.875,?,62.125,27.0,47.125,0
50.25,24.5,?,?,40.75,?,76.375,?,42.125,0
45.75,41.875,17.875,?,50.375,?,80.0,?,42.125,1
32.891,56.375,20.25,45.25,84.125,?,?,?,?,0
?,50.25,?,41.875,67.75,?,69.625,21.875,44.25,1
?,?,?,44.0,?,?,?,?,?,1
?,?,20.875,45.125,?,26.25,?,?,?,0
?,?,22.125,?,64.0,?,65.875,21.0,41.875,1
?,40.75,?,41.75,60.25,?,67.125,22.875,?,0
45.875,46.75,?,?,?,30.5,87.25,25.5,42.75,1
?,40.5,?,?,59.875,?,66.625,?,47.625,0
33.5,?,20.75,?,78.625,26.25,68.375,21.875,?,0
33.422,58.125,?,47.625,?,25.5,?,?,48.375,0
?,?,21.5,?,?,?,77.25,22.75,?,0
?,?,?,39.875,?,?,?,20.625,?,1
?,?,14.375,?,?,?,?,21.625,?,0
?,58.75,?,48.125,?,25.625,78.125,?,?,0
?,53.0,22.5,43.875,?,30.0,65.125,?,46.375,1
43.875,44.5,19.125,57.5,50.875,29.375,83.5,26.625,44.5,0
24.671999999999997,?,?,41.625,?,29.375,?,?,?,1
27.781,50.125,20.0,?,88.875,27.0,?,22.0,?,1
?,52.5,19.125,?,?,?,68.875,18.125,?,1
?,?,14.25,39.75,41.625,17.0,61.0,?,44.25,0
?,?,20.0,44.125,?,?,?,22.25,?,1
20.938000000000002,?,?,?,?,?,?,20.0,?,1
?,56.875,20.75,45.125,83.5,?,69.875,?,44.125,0
47.125,?,?,52.125,?,?,?,27.0,39.625,0
?,?,?,?,?,?,?,20.125,42.5,1
47.0,37.25,?,41.375,?,16.875,65.375,24.0,46.875,0
49.0,?,19.5,49.5,60.875,22.75,?,25.5,40.5,1
52.0,28.0,?,52.625,45.5,23.75,?,?,?,0
?,52.0,?,?,?,33.125,72.25,?,?,1
?,20.0,?,?,48.875,15.125,64.25,22.375,?,1
?,?,?,?,70.625,?,?,23.75,46.75,0
?,39.125,?,?,?,?,81.625,26.25,?,1
47.625,25.25,15.5,37.125,50.875,?,?,?,?,0
57.75,?,15.75,38.125,43.375,14.375,58.375,?,43.75,0
39.25,45.125,?,39.75,?,?,68.625,?,49.375,0
?,24.75,?,?,?,24.125,74.125,?,40.375,0
23.781,?,20.25,40.75,60.125,29.0,61.75,?,?,1
?,?,14.5,46.5,?,?,75.25,27.5,?,0
?,?,?,40.75,79.5,?,67.125,?,42.25,1
?,?,21.875,?,79.0,26.0,?,?,45.5,0
43.875,?,14.75,?,?,16.0,66.25,24.5,35.875,1
?,50.875,?,?,89.75,27.625,68.0,?,?,1
41.422,42.75,?,45.125,62.25,17.75,67.25,22.25,48.75,0
25.719,54.75,23.0,?,?,29.5,?,?,?,1
?,52.75,?,44.0,64.0,29.0,65.625,?,?,1
37.578,52.25,18.75,?,?,?,80.5,23.5,46.875,0
?,25.5,?,51.0,46.125,?,?,?,?,0
?,60.25,?,?,?,?,?,?,46.125,0
?,53.875,?,?,91.875,?,?,22.0,?,1
27.109,?,?,39.375,63.875,30.0,67.125,?,44.0,1
48.25,25.375,?,52.375,49.75,?,75.875,27.75,41.25,0
38.0,45.5,?,41.0,?,17.0,66.375,21.75,48.25,0
?,?,?,47.25,?,18.5,78.0,23.625,?,0
31.891,55.125,?,45.75,?,27.5,67.375,?,?,1
21.781,?,?,43.25,?,28.875,66.75,18.625,43.0,1
20.891,54.5,?,?,64.25,?,66.5,19.0,44.0,1
?,?,?,40.625,40.875,17.75,61.125,?,?,0
?,?,?,43.625,79.125,?,?,21.875,?,0
21.609,55.125,20.625,43.625,?,?,66.625,?,42.25,1
47.422,37.125,?,41.875,?,16.0,63.875,?,50.75,0
21.063000000000002,55.5,23.625,45.75,?,?,66.125,20.25,?,1
?,?,16.0,38.5,?,?,58.875,?,43.625,0
45.375,21.125,?,45.5,29.125,?,?,?,35.875,1
48.5,?,?,39.875,52.625,?,?,25.375,32.25,0
44.25,23.75,16.75,39.875,?,14.875,69.5,24.375,32.25,1
?,?,22.0,?,?,?,?,?,?,1
?,52.75,23.0,43.5,?,30.25,66.5,?,47.875,1
47.5,?,15.75,?,50.375,?,79.125,?,?,1
?,?,?,46.25,?,26.25,?,22.25,?,0
38.922,45.625,15.625,42.625,?,?,?,22.5,48.625,0
20.781,54.625,23.75,45.5,64.625,30.875,65.875,?,48.5,1
33.609,57.125,22.0,44.875,78.875,25.25,?,21.875,45.125,0
22.438000000000002,54.5,?,41.875,?,29.125,62.875,?,?,1
?,38.125,17.375,60.125,?,?,83.25,?,41.125,1
34.828,?,20.25,?,73.25,25.5,79.25,?,?,0
?,35.875,?,?,?,?,64.375,?,50.75,0
?,?,?,?,43.75,14.75,62.0,?,40.25,0
?,?,19.125,?,?,26.875,?,26.75,42.125,1
?,58.625,?,?,?,22.5,81.0,24.375,?,0
?,20.0,15.25,38.625,?,?,?,25.125,34.25,0
30.891,53.5,?,45.0,91.625,?,?,21.75,44.875,1
49.75,?,18.375,52.75,55.625,?,?,?,43.375,0
?,50.75,21.625,?,?,?,?,22.875,45.375,1
?,?,?,50.25,37.0,19.875,76.375,?,38.375,1
?,37.875,15.625,?,56.5,17.0,64.875,?,49.375,0
46.5,?,?,?,?,?,?,?,46.75,0
45.0,21.25,?,42.75,27.75,?,67.25,23.375,?,1
?,54.0,?,?,?,?,?,21.625,44.0,1
42.328,36.875,?,?,?,17.625,?,21.625,47.625,0
42.328,38.0,?,39.25,52.125,?,?,21.75,?,0
?,?,16.125,45.75,?,?,?,27.875,?,0
44.875,?,18.5,?,59.0,?,84.0,27.25,44.625,0
?,55.375,20.625,?,?,29.625,?,?,?,1
24.109,?,?,45.0,62.75,29.625,65.625,20.125,47.875,1
?,?,?,?,75.75,33.375,72.5,?,44.0,1
47.625,24.875,?,36.625,?,17.25,?,25.25,39.5,0
?,?,23.125,44.125,?,29.375,?,19.25,?,1
27.171999999999997,50.875,?,40.375,?,?,?,?,?,1
35.563,57.75,21.375,46.5,78.75,?,71.375,22.375,45.625,0
?,?,19.5,56.75,56.375,29.0,?,27.0,44.75,0
32.422,?,?,?,?,?,?,?,?,0
29.328000000000003,?,22.75,43.0,?,?,?,22.5,?,1
44.375,24.625,15.125,39.25,?,?,65.75,25.125,36.75,1
32.109,?,20.625,?,?,?,?,?,?,0
30.719,?,21.125,?,?,?,?,?,44.5,1
26.609,?,?,40.25,?,?,67.125,21.625,42.5,1
?,?,?,45.375,90.75,27.5,66.125,?,?,1
26.281,50.25,21.75,?,?,?,?,?,41.75,1
35.719,?,22.25,?,?,?,71.25,?,45.5,0
?,?,?,45.375,?,26.625,?,?,45.25,0
?,29.5,14.75,?,?,15.5,?,26.25,?,0
?,58.5,?,47.875,?,31.625,?,?,51.0,1
26.219,53.0,22.625,43.75,64.25,29.375,66.0,21.25,48.0,1
29.109,51.25,?,?,72.5,32.75,72.125,21.75,47.0,1
48.875,?,15.5,?,?,?,?,?,38.875,0
39.625,23.75,15.0,?,45.875,?,66.625,24.375,?,1
?,32.0,19.0,?,?,?,62.375,27.375,46.5,0
?,26.25,16.0,48.5,?,25.0,75.0,26.25,?,0
20.891,?,22.625,?,?,29.75,67.625,19.625,?,1
45.5,40.75,17.75,55.875,?,?,80.0,27.75,42.375,1
38.672,?,?,44.0,69.375,?,75.375,22.875,?,0
34.922,?,?,48.5,74.75,?,?,?,48.625,0
?,58.25,20.625,53.0,?,?,80.0,23.5,?,0
48.875,32.0,15.75,55.0,?,27.625,80.75,?,37.375,0
?,?,20.0,?,82.5,26.25,?,?,?,1
?,?,22.25,42.0,72.0,?,?,?,46.375,1
?,59.75,?,?,?,26.25,75.875,?,46.375,0
29.781,?,21.625,?,91.25,28.5,?,?,44.875,1
45.75,37.625,16.125,54.0,?,?,?,27.25,39.625,1
?,51.25,20.25,42.25,?,26.625,71.5,?,44.5,1
?,?,?,?,49.5,22.75,?,26.75,?,1
26.828000000000003,?,?,?,?,?,67.375,?,42.75,1
31.063000000000002,?,21.0,?,91.375,?,?,?,?,1
39.672,40.375,?,?,?,17.625,?,23.0,?,0
?,39.25,?,?,58.25,?,65.0,?,46.875,0
26.219,49.5,22.25,39.0,?,?,?,20.375,?,1
45.5,?,17.875,?,?,?,67.875,?,33.875,0
33.609,?,?,43.875,?,?,68.375,?,43.25,0
?,?,?,?,?,?,65.375,?,?,0
48.25,24.875,?,34.375,42.625,16.75,60.625,23.875,?,0
20.172,?,?,?,?,?,65.75,?,?,1
?,?,15.875,?,53.75,?,63.875,25.375,39.0,0
48.25,?,?,34.5,?,?,61.0,?,?,0
?,?,18.375,?,?,?,?,24.25,46.875,0
48.0,?,?,49.625,44.875,?,?,27.375,42.375,0
46.375,?,?,?,51.375,?,69.375,?,35.0,1
?,?,19.625,40.0,?,26.25,68.0,21.625,?,1
?,50.75,?,42.625,73.25,32.875,72.875,?,?,1
34.828,58.0,19.75,48.625,73.5,?,77.875,?,48.25,0
38.922,43.25,?,?,67.5,?,69.25,?,44.375,0
35.672,?,?,49.375,73.25,25.5,79.5,?,?,0
24.828000000000003,54.5,20.625,?,61.875,29.375,?,?,?,1
?,?,?,45.875,64.25,31.5,?,19.75,48.75,1
?,37.0,13.25,39.75,?,17.625,62.875,?,46.875,0
?,30.0,?,?,?,15.375,?,25.25,?,0
?,54.5,20.5,?,61.25,29.625,?,19.75,?,1
?,44.25,?,56.875,52.0,?,?,26.875,?,1
?,?,?,?,?,?,80.5,?,?,0
?,25.0,?,?,?,25.75,75.5,27.125,40.5,0
?,53.25,22.125,42.625,64.75,31.0,?,?,?,1
?,45.625,?,52.5,?,?,?,?,42.25,1
?,?,15.0,?,42.5,?,?,?,46.0,0
26.171999999999997,52.75,22.25,43.125,64.375,30.125,?,?,?,1
28.891,?,?,?,90.875,27.0,66.0,21.125,42.75,1
?,51.0,?,?,88.125,?,71.125,?,?,1
35.672,?,20.125,?,70.75,24.625,?,?,?,0
39.828,?,?,?,63.5,17.625,?,21.125,?,0
25.671999999999997,53.625,22.375,43.25,?,28.75,?,?,48.0,1
47.75,?,?,54.125,40.75,?,?,26.25,39.625,0
34.281,?,?,?,84.5,27.125,69.625,22.125,?,0
?,?,18.375,43.25,38.75,17.625,?,25.5,?,1
61.5,?,?,?,43.5,18.125,?,?,?,0
47.0,40.0,?,56.375,?,22.75,80.875,?,40.0,1
?,?,15.75,?,?,15.0,65.125,?,50.875,0
46.5,44.625,19.75,57.25,57.0,?,?,?,45.25,0
27.563000000000002,?,?,?,?,?,?,20.5,42.25,1
21.171999999999997,53.0,?,?,?,?,67.0,18.875,50.25,1
?,?,?,?,63.25,30.25,?,?,?,1
24.5,52.75,?,?,?,?,63.75,?,?,1
?,?,?,?,49.375,?,67.0,?,?,1
?,?,?,?,86.0,26.5,?,?,?,1
?,59.0,?,?,?,?,?,22.0,46.375,0
48.172,?,?,?,47.0,15.5,?,?,47.0,0
30.781,54.0,?,?,91.25,?,67.875,21.625,?,1
?,27.0,15.625,36.0,?,15.0,?,25.875,41.75,0
26.0,?,21.5,?,?,?,?,19.75,41.75,1
26.781,?,?,?,65.875,30.375,69.375,?,43.875,1
?,50.125,18.25,44.625,?,?,66.25,17.0,48.125,1
20.5,53.625,?,42.875,64.25,28.375,66.625,18.375,?,1
43.875,23.25,?,42.125,48.125,?,?,26.5,?,1
35.422,?,20.25,?,73.125,?,79.625,22.75,?,0
?,?,?,?,80.0,26.625,67.125,?,?,1
?,46.125,16.0,45.25,?,?,70.0,23.375,?,0
?,53.75,19.125,45.75,63.25,30.0,67.375,18.25,47.5,1
?,?,?,?,?,21.75,?,23.5,47.0,0
?,?,17.75,?,53.0,?,81.125,26.375,41.625,1
48.75,41.75,19.0,55.75,51.125,29.25,83.5,26.5,43.625,0
?,52.125,18.625,47.375,?,?,79.625,23.25,46.875,0
?,?,?,42.75,?,?,?,21.0,?,1
45.0,?,?,35.375,?,16.5,63.875,?,37.625,0
49.0,39.625,19.375,?,55.125,22.0,81.5,26.875,42.875,1
43.25,22.25,15.0,37.75,?,?,?,25.0,37.75,1
?,59.0,20.5,?,70.5,21.25,82.5,?,?,0
18.109,?,19.5,?,?,?,66.25,?,?,1
?,?,?,43.875,?,?,?,27.5,49.25,0
