company1,company2,company3,company4,company5,company6,company7,company8,company9,outcome
46.625,39.0,17.75,?,?,23.375,?,26.75,?,1
45.875,?,?,?,?,?,68.625,?,36.625,0
58.0,?,14.75,40.875,42.25,17.875,?,?,?,0
21.219,53.375,18.875,46.125,?,28.875,69.0,18.25,47.75,1
?,?,?,?,49.75,?,82.125,?,40.0,1
46.25,25.125,20.25,44.5,40.875,19.25,69.75,27.625,38.5,1
?,54.25,21.125,43.875,62.25,29.5,?,20.25,46.25,1
?,?,14.375,42.375,?,?,68.25,?,?,0
?,?,?,44.875,78.375,?,?,22.125,45.375,0
?,50.25,?,?,?,?,?,16.375,47.875,1
?,?,?,?,?,27.0,75.375,21.875,?,0
34.672,57.125,21.125,48.25,72.875,25.125,77.75,22.875,48.375,0
34.0,?,21.75,?,78.125,26.5,73.75,?,?,0
?,36.25,13.375,?,53.5,?,60.125,?,47.375,0
47.672,?,?,42.75,56.5,16.75,65.375,24.125,47.625,0
45.5,43.625,19.5,?,54.0,29.0,84.375,27.5,44.375,1
45.0,37.25,?,?,56.0,?,?,?,?,0
48.375,38.25,?,56.0,?,?,?,?,41.375,1
44.5,22.25,15.5,?,49.375,?,?,24.625,?,1
24.281,54.0,21.5,?,62.375,?,?,20.375,?,1
27.171999999999997,?,20.375,40.0,?,?,?,20.875,?,1
?,?,15.375,52.875,?,?,?,27.0,39.25,0
?,42.25,19.0,54.0,59.75,27.0,?,26.625,43.625,1
46.125,22.375,15.125,?,?,15.375,?,?,33.375,1
41.828,45.875,?,?,?,?,71.0,?,?,0
?,56.625,?,49.875,?,?,?,?,47.375,0
?,?,?,?,61.75,?,?,23.25,49.375,0
?,54.0,20.625,45.625,?,29.75,67.375,19.75,?,1
48.578,?,16.375,?,56.0,15.0,?,?,51.0,0
38.422,54.25,19.5,50.125,?,21.375,?,24.375,47.5,0
44.25,23.375,?,?,43.375,17.0,?,26.875,?,1
50.0,41.0,18.375,?,55.25,27.875,82.125,?,?,0
?,?,20.0,?,70.75,?,80.0,?,47.875,0
?,?,14.625,39.25,?,?,64.75,?,36.0,1
?,41.875,18.875,?,56.125,26.375,80.875,26.375,?,1
?,54.25,21.875,45.25,?,27.625,?,22.0,45.125,1
?,?,14.0,44.625,47.875,17.5,?,25.375,?,0
?,56.5,?,44.125,?,?,68.875,22.125,43.5,0
?,?,18.5,?,?,?,80.25,26.375,?,0
?,?,?,40.0,61.625,18.25,69.5,22.125,49.0,0
59.5,31.5,15.25,41.125,43.0,?,63.75,28.25,45.625,0
?,?,?,?,?,28.0,82.5,?,?,0
?,?,?,?,?,?,?,21.75,?,1
?,?,?,43.0,?,17.5,?,26.625,?,0
?,50.125,18.625,46.0,61.25,29.75,66.5,?,48.75,1
47.25,23.25,?,?,?,16.625,?,27.125,?,1
?,45.375,?,40.0,62.0,17.5,?,?,?,0
?,54.375,21.0,44.75,92.5,27.375,67.0,21.5,?,1
?,29.5,15.625,54.25,?,28.75,?,?,?,0
35.422,57.375,20.0,?,70.625,24.875,78.25,?,?,0
27.5,50.25,20.625,41.5,76.125,?,69.125,?,?,1
?,43.625,17.125,?,?,?,65.5,?,?,0
?,?,21.75,?,90.25,26.75,66.875,21.0,?,1
50.625,48.75,?,53.25,62.0,24.5,?,26.5,42.375,1
24.938000000000002,54.5,?,?,62.875,29.25,?,?,?,1
49.0,40.125,18.875,?,51.0,28.0,?,26.375,42.875,0
47.625,31.5,?,?,36.875,28.375,82.75,?,?,0
?,?,16.0,?,?,27.25,?,?,39.5,1
40.875,24.125,15.375,?,46.625,15.75,?,24.5,?,1
?,?,22.5,?,?,29.125,?,20.75,?,1
26.438000000000002,51.75,?,40.0,?,?,?,?,?,1
28.0,49.875,19.875,?,?,26.125,70.25,21.625,44.0,1
48.0,38.0,?,?,?,15.75,63.5,?,?,0
?,?,?,?,63.625,?,?,18.125,43.0,1
?,?,19.875,?,62.125,30.0,?,19.375,?,1
45.875,?,?,54.5,47.75,24.0,80.0,?,?,1
?,54.25,22.0,45.5,91.875,27.5,?,?,44.5,1
45.25,44.0,18.375,57.25,?,?,?,27.125,?,1
?,52.875,?,44.625,?,?,68.0,21.875,?,1
?,57.625,?,?,79.5,?,?,?,?,0
21.671999999999997,58.125,25.125,47.75,63.125,?,69.125,20.125,52.25,1
?,?,22.5,44.0,?,?,73.25,?,?,1
51.922,34.625,?,?,?,?,64.75,25.875,?,0
41.078,?,14.125,38.625,?,15.75,61.5,21.375,?,0
?,58.75,20.125,?,?,22.125,84.125,24.5,48.125,0
45.5,42.25,?,?,?,27.125,81.75,?,42.25,1
?,25.25,19.625,44.0,?,17.375,?,?,?,0
?,52.625,?,?,?,?,?,21.375,44.75,1
27.438000000000002,?,?,?,?,32.5,71.5,19.875,?,1
?,37.125,?,?,55.875,?,61.75,?,?,0
?,41.75,18.25,56.125,54.5,?,79.75,?,?,1
20.438,54.125,?,43.75,63.875,28.5,66.5,18.125,?,1
?,?,?,45.625,30.125,?,68.5,?,?,0
56.672,35.625,16.125,43.125,45.875,18.0,?,?,49.875,0
?,?,22.125,43.25,?,30.625,?,?,46.75,1
?,?,19.0,51.5,55.5,?,80.75,26.625,42.375,1
?,40.0,13.125,40.75,51.375,18.375,65.375,?,?,0
28.938000000000002,50.75,?,44.25,88.75,?,?,?,?,1
28.281,50.0,?,?,69.0,30.875,?,21.75,?,1
36.5,?,18.625,?,68.5,?,80.875,24.125,46.875,0
46.125,?,?,56.375,49.25,?,80.875,?,39.5,1
44.875,24.5,20.375,44.625,43.625,18.75,67.0,27.0,?,0
?,?,?,43.25,55.875,16.625,65.5,?,?,0
?,34.375,14.75,?,46.0,17.625,?,?,?,0
49.875,41.125,19.0,52.0,54.75,24.375,80.375,?,42.375,1
?,?,?,41.0,59.5,29.5,?,19.25,?,1
?,25.25,16.375,38.0,48.875,?,?,25.5,39.0,0
?,?,?,40.875,51.375,?,?,24.875,34.875,1
54.5,?,14.875,37.125,42.75,?,60.375,?,40.125,0
47.125,29.25,15.375,53.375,?,27.5,?,?,?,0
27.563000000000002,50.375,20.5,?,?,?,66.25,?,44.5,1
?,?,?,?,?,?,79.75,?,42.375,1
28.219,?,20.5,42.0,?,27.375,?,?,?,1
?,?,?,43.875,61.875,?,?,?,?,1
39.672,?,?,52.75,?,22.125,?,?,47.5,0
?,25.0,19.625,44.0,40.0,?,69.625,27.75,37.5,0
?,38.875,16.25,?,?,?,64.125,22.75,?,0
34.563,56.625,20.625,45.0,82.0,26.75,70.0,22.25,?,0
?,?,?,43.0,?,17.75,?,?,49.875,0
58.5,35.875,15.875,43.125,?,17.875,?,27.5,?,0
?,24.25,?,49.125,?,26.75,76.5,?,41.25,0
?,52.75,?,?,?,?,65.375,?,46.0,1
43.75,44.125,?,?,?,28.375,?,26.875,44.5,0
?,?,?,?,?,?,?,22.375,45.0,0
?,?,?,?,65.75,?,68.625,20.0,?,1
47.25,28.875,19.5,?,?,?,75.0,?,?,1
?,?,?,41.375,65.125,?,67.5,?,?,1
25.671999999999997,?,?,44.5,64.0,?,65.5,21.375,48.875,1
48.25,44.125,?,57.5,?,?,85.875,?,?,0
43.625,?,?,?,?,?,68.0,26.625,34.5,1
?,57.25,?,?,?,26.125,70.75,?,?,0
33.75,?,21.625,?,78.75,?,?,22.125,?,0
?,46.25,19.375,?,61.875,23.5,?,26.625,?,1
35.063,57.75,21.5,45.875,?,25.875,71.125,22.125,?,0
?,?,?,?,58.625,?,84.25,?,43.25,1
?,?,19.875,52.0,70.5,22.125,83.5,24.5,?,0
?,43.125,?,?,?,?,?,21.0,?,0
?,39.375,?,?,?,17.75,?,?,46.0,0
?,?,?,40.375,?,30.25,69.0,20.625,?,1
27.391,50.625,20.5,40.125,76.75,?,?,?,?,1
26.609,50.875,20.125,?,76.75,?,67.5,?,?,1
46.25,39.625,?,?,50.75,22.625,82.0,?,?,1
46.25,43.5,?,?,?,29.5,84.125,27.5,?,1
46.0,38.875,?,57.0,50.0,?,?,26.125,?,1
21.109,52.5,?,?,?,?,?,?,49.875,1
20.438,?,19.25,?,63.625,?,66.375,18.25,48.875,1
?,?,22.125,45.875,?,?,69.0,22.5,45.25,1
?,?,?,?,77.0,33.0,73.0,?,?,1
48.0,29.5,?,?,?,?,?,?,40.25,0
20.281,?,?,43.125,64.0,28.625,66.125,19.125,44.375,1
28.828000000000003,?,?,44.375,76.375,?,?,21.75,44.0,1
21.328000000000003,54.875,?,?,63.875,28.75,66.75,?,?,1
?,35.75,16.0,?,?,?,?,27.25,?,0
39.172,44.0,17.25,39.5,67.0,16.625,?,20.875,45.5,0
21.438000000000002,?,?,?,64.125,28.25,?,?,?,1
24.438000000000002,?,?,42.375,?,29.0,?,?,?,1
?,49.75,21.125,?,62.625,?,64.875,?,42.125,1
20.563000000000002,?,?,?,?,32.125,67.0,?,49.0,1
21.281,?,?,46.875,?,?,?,?,47.125,1
?,?,20.75,40.0,?,?,64.75,19.625,41.0,1
?,35.125,?,45.375,?,19.625,?,?,?,0
?,?,?,?,?,?,?,26.875,?,1
?,?,?,46.375,63.75,30.5,68.75,?,49.5,1
19.891,52.875,?,?,61.375,?,67.375,?,?,1
?,54.0,20.75,?,?,29.75,64.75,19.5,47.75,1
42.875,23.375,?,41.75,46.625,?,?,?,?,1
?,?,19.625,41.75,?,28.875,63.25,18.5,?,1
?,40.25,?,?,?,25.25,80.0,?,?,1
?,?,?,?,72.25,?,75.75,22.5,48.625,0
21.109,53.0,?,?,62.0,30.25,?,19.0,50.0,1
?,50.875,?,41.875,78.0,?,70.75,21.0,42.75,1
?,56.875,20.5,?,?,?,78.5,24.25,46.875,0
?,56.875,21.25,45.5,?,?,?,?,?,0
35.328,58.625,20.125,?,73.25,25.25,79.0,?,?,0
?,?,?,?,73.0,?,?,?,?,0
21.328000000000003,52.25,?,?,?,27.625,69.5,?,49.125,1
46.625,?,15.875,?,?,?,82.0,27.75,40.75,0
46.5,?,14.5,41.625,?,?,?,22.375,50.5,0
?,?,21.75,?,?,?,68.625,?,44.875,1
34.25,?,?,?,73.875,25.75,?,?,?,0
43.25,?,19.25,59.375,55.625,29.0,84.375,27.0,44.0,0
?,?,21.5,?,?,?,?,20.5,45.5,1
?,?,?,50.625,72.625,?,79.125,24.25,?,0
?,?,20.125,?,77.125,?,67.375,?,?,1
48.75,?,?,?,?,25.25,?,27.125,41.5,1
27.328000000000003,?,20.25,?,?,?,?,?,42.625,1
35.172,?,?,?,80.125,25.875,71.75,?,46.25,0
?,50.125,20.375,?,75.75,?,69.375,?,?,1
?,42.125,?,56.5,53.75,24.75,?,27.5,?,1
?,?,20.375,?,?,25.25,80.5,23.0,48.125,0
?,?,21.0,?,?,31.75,?,?,41.625,1
?,?,21.5,?,?,23.625,78.75,?,?,0
?,?,?,38.5,?,15.75,?,?,?,0
?,?,?,42.75,56.625,17.625,?,?,50.5,0
?,?,18.25,45.875,69.125,18.625,76.75,?,47.125,0
33.672,56.25,20.625,?,?,?,?,?,45.125,0
48.328,37.25,15.375,42.75,?,17.125,?,22.875,?,0
?,?,21.25,46.375,?,27.625,68.0,22.0,?,0
45.125,?,?,?,43.625,?,?,25.375,36.125,0
48.5,26.125,?,35.125,43.75,?,?,?,?,0
?,53.25,22.25,43.125,65.0,31.5,?,21.25,47.25,1
47.625,?,15.125,55.0,?,23.0,?,27.375,39.125,1
?,?,?,44.0,?,?,66.5,17.375,47.75,1
21.281,?,19.0,46.125,62.25,?,?,18.375,47.375,1
29.328000000000003,53.375,21.625,?,?,?,?,21.5,?,1
?,57.625,21.125,?,72.625,?,78.75,?,47.25,0
47.0,?,16.25,55.625,44.125,28.875,81.25,?,39.625,1
33.672,58.625,?,?,?,25.5,78.0,22.875,48.625,0
20.671999999999997,?,?,44.5,?,29.875,66.5,19.75,49.25,1
?,29.125,?,?,?,26.375,?,?,39.625,0
?,21.0,14.25,?,48.375,15.0,?,?,33.25,1
?,44.125,15.125,?,?,?,?,22.5,?,0
40.375,25.875,15.75,?,?,15.875,63.25,24.5,?,1
38.672,57.125,20.875,50.375,72.125,23.0,78.5,23.75,47.0,0
?,?,?,?,?,?,67.5,18.0,46.0,1
?,52.75,19.0,?,69.5,?,?,23.25,47.25,0
46.125,22.125,?,?,50.0,15.125,65.375,24.25,33.125,1
49.5,23.625,15.375,49.125,?,26.125,?,28.5,?,0
45.625,?,?,?,?,16.5,?,?,?,1
58.125,34.5,15.875,45.625,?,19.75,64.75,27.5,?,0
53.25,27.5,14.625,?,?,?,60.625,25.875,39.75,0
28.828000000000003,?,21.875,?,90.375,?,?,21.0,43.375,1
25.938000000000002,?,21.75,?,?,?,64.125,19.5,?,1
?,57.5,?,50.75,?,?,?,23.75,46.75,0
40.328,?,?,?,61.375,16.875,66.25,?,48.25,0
?,?,17.625,56.5,54.0,?,?,27.75,?,1
42.078,39.375,13.0,39.625,52.5,17.5,?,?,47.625,0
32.328,56.5,21.0,?,93.75,?,68.875,22.125,44.875,0
28.671999999999997,?,22.375,42.125,?,?,?,?,45.625,1
?,?,?,?,42.5,?,64.0,28.125,47.125,0
?,27.25,15.75,?,44.375,?,?,?,38.0,0
35.5,57.75,20.125,?,?,?,?,22.875,?,0
47.25,34.375,16.25,?,?,?,?,?,?,0
46.375,?,?,57.625,49.875,22.625,?,?,40.125,1
23.938000000000002,53.0,?,40.0,?,?,61.5,18.625,45.0,1
?,?,?,40.625,79.375,?,?,21.875,42.5,1
?,43.25,17.125,?,67.75,?,?,21.125,?,0
46.0,39.25,?,59.25,?,23.0,?,?,?,1
44.875,?,18.625,43.875,?,?,69.0,?,36.25,0
?,34.5,?,?,?,?,?,24.875,?,0
28.828000000000003,?,?,?,77.25,?,71.625,22.0,44.875,1
46.375,22.625,?,?,51.75,16.125,?,26.375,35.125,1
?,56.625,?,?,?,?,?,?,44.375,1
?,26.875,15.25,34.625,?,?,62.375,?,?,1
26.719,?,20.0,?,?,28.375,66.375,21.375,?,1
?,?,13.5,?,54.625,?,61.625,?,49.75,0
?,39.875,?,57.75,?,25.125,?,27.625,42.5,0
59.125,32.0,?,42.375,38.125,18.25,?,?,45.625,0
