Abbrev,Rep,Locality,Map_Ref,Latitude,Altitude,Rainfall,Frosts,Year,Sp,PMCno,DBH,Ht,Surv,Vig,Ins_res,Stem_Fm,Crown_Fm,Brnch_Fm,binaryClass
K83,1,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1983,ov,1788.0,5.35,5.9,25.0,2.0,1.8,2.0,2.5,3.0,0
Wak,1,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,pu,1598.0,10.8,10.0,75.0,3.0,4.0,3.0,4.0,3.0,1
K81,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,rd,1524.0,4.49,4.49,88.0,2.3,2.0,2.5,4.0,3.0,0
K81a,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,fa,2426.0,17.42,9.01,45.0,4.5,4.5,3.0,2.0,1.5,0
K81,2,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,jo,1595.0,2.8,2.92,75.0,2.5,1.8,3.2,3.5,3.5,0
K81,2,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,ka,1171.0,2.79,2.9,75.0,2.0,2.0,2.0,2.0,3.0,0
Cly,3,Northern_Hawkes_Bay,N116_848/985,39__00,200,1400,-2,1980,fr,1487.0,3.072,9.93,?,3.0,4.0,2.0,2.0,1.0,1
Puk,2,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,ob,2570.0,10.16,7.74,100.0,3.0,3.0,4.0,4.0,4.0,1
K81,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,ov,1785.0,3.2,3.56,88.0,1.5,1.8,2.5,3.3,3.5,0
WSp,2,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,am,2560.0,17.35,16.11,38.0,3.0,3.0,2.5,3.5,2.5,1
Cra,1,Central_Hawkes_Bay,N135_382/137,39__38,100,850,-2,1980,fr,1487.0,13.15,9.65,90.0,4.5,4.0,3.5,3.5,3.0,0
Puk,3,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,rd,2575.0,9.63,5.11,50.0,1.0,0.5,2.0,2.0,2.0,0
Wak,2,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,fr,1786.0,15.6,12.1,4.0,3.0,3.5,3.0,2.0,3.0,0
Lon,3,South_Wairarapa,N162_097/424,41__08,220,1050,-2,1983,ob,2570.0,18.3,9.06,50.0,3.5,3.0,2.5,3.0,2.5,0
WSp,1,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,cr,1252.0,17.36,15.64,50.0,3.5,3.5,2.5,2.5,2.5,0
Puk,3,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,am,2560.0,16.04,8.66,100.0,3.0,4.0,4.0,4.0,4.0,1
Cra,3,Central_Hawkes_Bay,N135_382/137,39__38,100,850,-2,1980,ov,1521.0,8.78,5.79,50.0,2.5,2.0,3.2,3.3,3.0,0
Puk,3,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,ka,2631.0,5.75,4.26,75.0,2.0,3.0,2.0,2.0,2.0,0
Wak,3,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,ob,2469.0,5.7,5.6,100.0,3.0,2.5,4.0,5.0,4.0,1
K81a,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,re,2550.0,15.37,10.82,13.0,3.0,2.7,3.5,3.5,3.0,0
K81a,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,am,1592.0,14.22,11.45,35.0,3.0,3.0,3.0,4.0,3.0,1
K81,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,fa,1978.0,16.54,9.93,100.0,5.0,3.3,3.3,2.5,2.0,0
Puk,2,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,sm,1340.0,1.56,2.16,50.0,1.0,2.0,2.0,2.0,3.0,0
Puk,1,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,fa,2426.0,11.85,7.47,50.0,3.0,3.0,4.0,3.0,3.0,0
Cly,1,Northern_Hawkes_Bay,N116_848/985,39__00,200,1400,-2,1980,fr,1487.0,27.98,8.64,?,2.3,4.0,2.0,2.0,2.0,0
Mor,2,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,nd,1596.0,32.88,14.98,?,?,?,?,?,?,0
Paw,1,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,am,2560.0,24.94,14.33,10.0,3.0,4.0,3.5,4.0,3.0,1
Mor,2,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,ra,1825.0,17.5,7.99,?,?,?,?,?,?,0
Wak,2,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,rd,1524.0,6.8,5.6,2.0,2.0,2.0,3.0,3.0,0.0,0
Paw,2,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,cr,1252.0,27.13,11.88,90.0,3.3,3.7,2.1,2.1,2.0,0
Wai,2,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,nd,1596.0,12.6,8.0,37.0,2.5,3.5,4.0,4.0,4.0,0
K81,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,br,1112.0,7.83,6.68,100.0,3.0,1.8,3.5,4.0,4.0,1
K83,2,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1983,ni,2568.0,11.66,8.57,75.0,3.0,2.5,2.5,2.5,2.5,0
K81,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,el,1338.0,7.28,7.45,63.0,4.0,3.0,3.3,3.3,3.0,1
Wai,3,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,fa,1978.0,26.6,13.5,75.0,5.0,3.0,2.5,2.0,1.0,1
Wai,1,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,sm,1340.0,9.3,4.3,63.0,1.0,1.2,1.0,1.0,1.0,0
WSp,1,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,ob,2570.0,17.59,12.2,50.0,3.0,2.7,3.0,3.5,2.7,0
Cra,1,Central_Hawkes_Bay,N135_382/137,39__38,100,850,-2,1980,pu,1523.0,19.05,11.26,100.0,5.0,4.5,3.5,4.0,2.0,0
Mor,2,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,pu,2573.0,27.66,11.83,?,?,?,?,?,?,0
Paw,2,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,ob,1522.0,52.26,15.45,10.0,5.0,4.5,2.5,2.0,2.5,1
K81,1,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,nc,1780.0,6.24,4.85,25.0,2.5,4.0,3.0,3.0,3.0,0
K81a,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,ov,2622.0,11.07,8.95,70.0,3.0,2.0,2.5,4.0,3.0,1
WSp,2,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,ob,2458.0,18.88,10.53,63.0,3.5,3.0,2.0,2.0,1.5,0
Wai,3,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,br,1113.0,9.6,7.0,100.0,2.6,2.0,3.0,3.0,3.0,0
Wen,1,Central_Poverty_Bay,N98_539/567,82__32,150,1750,-2,1986,pu,?,38.51,16.46,?,?,?,?,?,?,0
Paw,2,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,fa,2548.0,49.34,16.85,10.0,5.0,4.5,3.5,3.5,3.0,0
K81a,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,nd,2634.0,11.84,9.13,18.0,2.5,3.5,2.5,3.5,3.0,0
K82,2,Central_Wairarapa,N158_343/625,40__57,180,1080,-3,1982,am,2560.0,4.39,5.19,50.0,2.5,3.5,3.0,4.5,4.0,0
Puk,1,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,ov,1259.0,13.99,9.09,100.0,4.0,2.0,2.0,2.0,2.0,0
Nga,3,Southern_Hawkes_Bay,N145_874/586,40__11,130,1000,-3,1980,fr,1487.0,37.6,13.0,10.0,5.0,4.0,2.0,2.0,1.0,1
Mor,3,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,ra,1825.0,19.63,8.97,?,?,?,?,?,?,0
K82,3,Central_Wairarapa,N158_343/625,40__57,180,1080,-3,1982,el,2638.0,0.58,1.75,25.0,1.5,3.0,3.0,3.0,3.0,0
Paw,1,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,fa,2548.0,35.54,13.02,20.0,3.2,3.5,2.5,2.5,2.3,1
Wai,1,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,jo,1595.0,5.2,4.3,75.0,0.5,0.5,4.0,4.0,4.0,0
Wak,3,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,ag,1094.0,10.5,6.0,25.0,3.0,3.0,2.0,3.0,2.5,0
Wai,3,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,fr,1786.0,17.8,12.2,63.0,4.7,3.1,3.0,3.0,3.0,1
Puk,2,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,nd,2634.0,17.77,10.42,50.0,3.0,3.0,2.0,2.0,2.0,0
K83,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1983,ov,2571.0,8.75,7.27,38.0,3.5,2.5,3.0,4.0,3.3,0
K82,2,Central_Wairarapa,N158_343/625,40__57,180,1080,-3,1982,re,2574.0,1.17,2.34,25.0,1.0,3.0,3.0,3.0,3.0,0
Lon,3,South_Wairarapa,N162_097/424,41__08,220,1050,-2,1983,rd,2575.0,15.93,9.1,88.0,3.0,3.0,2.0,2.5,2.5,0
Puk,2,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,re,2553.0,17.95,13.66,100.0,5.0,3.0,4.5,4.5,4.0,0
Paw,1,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,ob,2570.0,24.87,11.66,40.0,3.3,3.4,3.5,4.1,3.4,1
Paw,1,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,nd,1596.0,20.11,13.55,20.0,3.0,4.0,4.0,4.0,4.0,0
Mor,2,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,te,3274.0,19.92,7.47,?,?,?,?,?,?,0
Wak,1,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,re,2428.0,11.2,12.2,75.0,5.0,3.0,4.0,3.5,3.5,1
K83,2,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1983,re,2550.0,9.15,8.42,25.0,3.0,3.5,3.5,4.0,4.0,0
Cly,1,Northern_Hawkes_Bay,N116_848/985,39__00,200,1400,-2,1980,ov,1521.0,33.3,13.32,?,4.0,2.3,3.3,2.0,1.0,1
Lon,1,South_Wairarapa,N162_097/424,41__08,220,1050,-2,1983,am,1592.0,23.59,9.87,75.0,3.0,4.0,3.0,4.0,3.0,1
K83,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1983,fa,1482.0,6.94,5.17,38.0,2.5,3.0,3.0,4.0,3.5,0
Puk,1,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,ka,1171.0,10.81,3.45,100.0,3.0,2.0,1.0,1.0,1.0,0
K81,2,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,fa,1482.0,11.03,6.25,38.0,3.5,3.5,3.0,2.5,2.0,0
K81,1,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,pu,1598.0,10.75,9.26,88.0,4.0,4.0,4.0,4.0,4.0,0
Paw,3,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,ni,2547.0,42.95,13.91,50.0,4.2,2.8,2.0,2.5,1.7,1
Cly,2,Northern_Hawkes_Bay,N116_848/985,39__00,200,1400,-2,1980,ni,2088.0,31.74,11.69,?,4.0,2.5,3.0,3.0,2.0,1
Cra,2,Central_Hawkes_Bay,N135_382/137,39__38,100,850,-2,1980,co,1520.0,8.15,6.72,70.0,1.5,3.0,3.0,3.0,3.0,0
Lon,3,South_Wairarapa,N162_097/424,41__08,220,1050,-2,1983,re,2553.0,11.55,6.56,100.0,3.0,2.7,3.3,4.0,4.0,1
Wak,1,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,ag,1094.0,12.0,10.3,38.0,2.8,3.2,2.8,3.2,3.0,0
Paw,3,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,nd,2634.0,40.22,18.22,10.0,4.0,4.5,3.0,3.5,2.0,1
Wak,3,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,pu,1598.0,13.6,7.3,38.0,3.0,3.0,2.0,2.5,2.0,0
K81,1,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,ov,1785.0,3.91,3.91,63.0,2.5,1.5,3.0,4.0,3.0,0
K81,2,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,nc,1780.0,2.6,3.64,38.0,1.0,2.0,2.0,2.0,3.0,0
WSp,2,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,ov,2571.0,19.67,20.14,50.0,3.0,2.0,3.3,3.7,4.0,1
Wak,1,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,el,1338.0,8.2,6.6,63.0,4.0,4.0,3.0,3.0,3.0,0
Wai,3,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,re,2431.0,17.6,12.4,100.0,3.5,3.3,3.0,3.0,2.0,1
Wai,3,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,ka,1171.0,13.1,10.1,100.0,2.0,2.0,2.0,2.0,2.0,0
Wai,2,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,ob,1337.0,22.2,14.6,63.0,5.0,3.0,4.0,4.0,3.2,0
Wai,22,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,si,2435.0,19.6,12.3,75.0,3.3,3.0,3.3,3.5,3.5,0
WSp,1,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,ob,1522.0,19.13,10.66,38.0,3.5,3.0,2.5,2.5,2.0,1
Mor,3,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,te,3275.0,17.35,6.51,?,?,?,?,?,?,0
K81,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,fr,2447.0,11.57,8.41,100.0,4.0,3.0,3.5,3.5,3.5,0
Lon,3,South_Wairarapa,N162_097/424,41__08,220,1050,-2,1983,fa,1482.0,22.38,8.74,100.0,3.7,3.0,3.2,3.3,2.6,1
K81a,1,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,co,2562.0,7.99,5.49,17.0,2.0,3.0,2.5,3.3,3.0,0
Cra,1,Central_Hawkes_Bay,N135_382/137,39__38,100,850,-2,1980,ob,1522.0,17.01,12.28,70.0,5.0,4.0,5.0,4.0,4.5,0
Wak,3,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,bxs,1111.0,1.6,1.8,88.0,1.0,2.0,3.0,3.0,3.0,0
WSp,3,Southern_Hawkes_Bay,N151_912/221,40__36,150,1250,-3,1983,am,1592.0,18.4,14.18,50.0,3.5,3.2,2.0,2.5,1.5,1
K83,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1983,ob,2570.0,21.43,14.1,38.0,4.0,3.5,3.0,3.5,3.0,1
Puk,2,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,pu,2573.0,7.84,4.29,25.0,2.0,4.0,1.0,2.0,3.0,0
K81a,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,br,2621.0,5.98,4.03,43.0,2.5,2.0,3.3,4.0,3.5,0
Wak,3,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,ov,1785.0,4.3,3.2,100.0,1.5,1.0,2.5,3.5,3.0,0
Puk,3,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,fa,2548.0,24.77,10.67,100.0,4.5,3.0,4.0,3.0,2.0,1
Mor,2,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,am,2770.0,11.25,5.14,?,?,?,?,?,?,0
Wak,3,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,si,2435.0,6.0,7.0,13.0,3.0,3.0,4.0,4.0,4.0,0
Wai,2,Central_Hawkes_Bay_(coastal),N142_377/957,39__50,70,1000,-2,1981,ob,2459.0,19.6,15.4,100.0,5.0,3.0,5.0,4.3,3.0,0
Wak,1,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,nc,1780.0,8.8,5.3,63.0,3.0,3.0,3.0,4.0,4.0,0
Paw,1,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,ob,1522.0,33.16,14.75,40.0,3.7,3.5,3.6,3.6,2.9,1
K83,1,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1983,re,2553.0,9.73,11.04,75.0,3.0,3.0,3.5,4.0,3.5,1
Lon,1,South_Wairarapa,N162_097/424,41__08,220,1050,-2,1983,ni,2568.0,16.7,7.64,100.0,3.5,2.8,3.0,3.0,2.0,1
Cra,2,Central_Hawkes_Bay,N135_382/137,39__38,100,850,-2,1980,ma,1362.0,8.99,6.05,60.0,2.5,3.0,3.0,4.0,4.0,0
WSh,1,Southern_Hawkes_Bay,N151_922/226,40__36,100,1250,-2,1983,re,?,22.34,8.84,25.0,3.8,3.5,3.0,3.5,3.0,0
Puk,1,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,am,1592.0,10.4,5.77,75.0,3.0,3.0,2.0,3.0,2.0,0
K81a,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,bxs,1111.0,6.92,4.54,48.0,3.0,3.0,2.5,2.0,2.0,0
Cra,2,Central_Hawkes_Bay,N135_382/137,39__38,100,850,-2,1980,nd,1596.0,13.13,6.08,80.0,3.5,4.0,4.0,3.5,3.5,0
Mor,2,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,te,2768.0,29.91,11.22,?,?,?,?,?,?,0
Nga,2,Southern_Hawkes_Bay,N145_874/586,40__11,130,1000,-3,1980,ob,1522.0,15.5,9.8,40.0,4.0,3.5,3.5,3.5,3.0,1
K83,3,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1983,ob,1522.0,1.41,2.82,13.0,1.0,3.0,3.0,3.0,3.0,0
Wak,3,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,re,2428.0,12.3,8.2,75.0,4.0,3.0,3.0,2.0,2.0,0
K82,3,Central_Wairarapa,N158_343/625,40__57,180,1080,-3,1982,ov,1788.0,15.31,11.77,75.0,3.0,2.0,4.0,4.0,4.0,0
Paw,1,Southern_Hawkes_Bay_(coastal),N146_273/737,40__00,150,1300,-2,1983,pu,2573.0,32.97,14.24,40.0,3.2,4.0,3.1,3.3,3.0,1
Puk,3,South_Wairarapa,N166_063/197,41__16,300,1200,-3,1982,re,2553.0,17.72,11.93,75.0,4.0,3.0,5.0,4.0,4.0,0
Mor,1,Central_Hawkes_Bay,N141_295/063,39__43,150,900,-2,1986,nd,1596.0,25.84,11.76,?,?,?,?,?,?,0
Wak,1,South_Wairarapa,N162_081/300,41__12,160,1000,-3,1981,fa,1978.0,15.7,10.0,100.0,4.0,3.0,2.5,2.5,2.5,1
K81a,1,Central_Wairarapa,N158_344/626,40__57,180,1080,-3,1981,ov,1785.0,10.24,6.95,46.0,2.0,2.0,3.0,4.0,3.0,0
Lon,1,South_Wairarapa,N162_097/424,41__08,220,1050,-2,1983,fr,2552.0,18.88,9.59,75.0,3.0,3.0,3.0,3.3,3.0,1
