Favorite_Points,Underdog_Points,Pointspread,Favorite_Name,Underdog_name,Year,Week,Weekday,Overtime,binaryClass
21,19,3.0,PHA,NYG,89,5,?,?,0
24,3,4.5,NYJ,SD,91,13,?,?,0
33,10,3.0,SF,LAN,91,13,Monday_Night,?,1
30,20,6.5,MIA,NE,91,11,Sunday_Night,?,0
14,10,7.0,GB,IND,91,13,?,?,0
20,17,2.5,PIT,SD,89,11,?,?,0
28,0,2.5,MIN,PHX,91,9,?,?,1
10,13,9.0,SF,NO,90,16,?,?,0
38,24,5.0,SF,NO,91,14,?,?,0
14,26,6.5,HOU,PIT,91,13,?,?,1
27,0,12.0,CHI,TB,91,16,Saturday,?,0
20,9,2.5,PIT,HOU,90,2,?,?,0
33,14,9.5,MIA,TB,91,14,?,?,0
42,0,3.0,BUF,CLE,90,9,?,?,1
27,0,2.0,NO,LAA,91,16,Monday_Night,?,0
33,31,2.0,WAS,DAL,91,2,Monday_Night,?,1
38,23,3.5,LAN,CLE,90,13,?,?,1
17,10,9.0,PHA,CIN,91,12,?,?,0
21,14,4.0,CIN,CLE,89,3,Monday_Night,?,0
12,16,4.0,PIT,CIN,90,13,?,?,0
19,7,3.0,SD,DEN,90,10,?,?,0
15,13,3.5,GB,TB,91,3,?,?,0
26,21,9.5,WAS,SD,89,14,?,?,0
27,0,10.0,HOU,PIT,89,7,?,?,0
20,13,7.0,NO,ATL,89,8,?,?,0
27,10,8.5,SF,LAN,91,4,?,?,0
24,21,2.0,KC,SD,90,16,?,?,1
35,31,10.0,HOU,DET,89,9,?,?,0
28,24,13.0,HOU,CLE,91,12,Sunday_Night,?,0
10,16,2.0,ATL,PHX,91,8,?,?,1
27,7,2.0,NYJ,ATL,89,12,?,?,0
30,27,9.0,BUF,NYJ,90,7,?,?,0
42,13,0.0,IND,MIA,89,15,?,?,0
26,7,1.0,ATL,DAL,90,17,?,?,0
26,13,6.0,ATL,SEA,91,16,?,?,0
20,10,6.5,MIA,NE,91,6,?,?,1
14,24,5.5,CLE,SD,90,3,?,?,0
10,27,3.5,KC,HOU,90,15,?,?,0
17,14,3.0,CHI,CIN,89,1,?,?,0
35,0,10.5,PIT,CLE,90,16,?,?,0
31,0,5.5,CLE,IND,91,14,?,?,1
7,17,0.0,CLE,DEN,91,15,?,?,0
34,31,9.0,DEN,SEA,90,3,?,yes,0
16,15,2.5,ATL,NE,89,6,?,?,0
20,17,9.0,KC,SD,91,15,?,yes,0
27,30,2.0,LAA,BUF,91,15,?,yes,0
23,14,2.0,DAL,NO,91,15,?,?,0
19,13,10.5,SF,ATL,90,3,?,?,0
20,17,13.0,SF,CLE,90,8,?,?,0
28,35,6.0,WAS,IND,90,16,Saturday,?,1
31,17,9.5,CHI,IND,91,12,?,?,1
20,23,6.0,IND,NE,89,8,?,yes,0
27,24,1.0,MIA,NE,90,1,?,?,1
35,31,8.5,ATL,GB,91,14,?,?,0
31,17,4.0,BUF,MIA,89,8,?,?,0
27,24,3.5,NO,SEA,91,1,?,?,0
24,7,3.0,PIT,NYJ,90,12,?,?,1
24,17,4.0,NO,LAN,91,10,?,?,1
33,24,1.5,DET,IND,91,4,?,?,1
33,40,4.0,MIA,NYJ,89,3,?,?,0
20,17,3.0,NYG,WAS,89,6,?,?,0
21,24,9.0,LAN,DAL,90,11,?,?,0
13,10,0.0,SEA,HOU,90,13,?,?,0
35,3,7.0,SF,DET,91,8,?,?,0
20,10,7.0,GB,DAL,89,16,?,?,1
24,20,6.5,SF,GB,90,9,?,?,1
17,10,8.0,BUF,TB,91,4,?,?,1
21,14,3.0,DET,ATL,90,2,?,?,0
56,23,6.5,CIN,TB,89,8,?,?,0
27,3,2.5,CIN,PIT,90,11,Sunday_Night,?,0
13,34,2.5,CLE,CIN,90,7,Monday_Night,?,0
6,13,5.0,MIN,DEN,91,5,Sunday_Night,?,0
13,23,4.0,HOU,NE,89,5,?,?,1
30,7,2.0,BUF,NYJ,90,3,Monday_Night,?,1
21,20,3.5,PHA,DAL,90,8,?,?,1
0,34,1.5,HOU,KC,89,12,?,?,1
17,23,1.0,CLE,IND,89,14,?,yes,1
26,10,8.0,BUF,IND,90,1,?,?,0
6,13,6.5,HOU,PHA,91,14,Monday_Night,?,0
13,16,7.5,CHI,MIA,91,13,?,yes,0
31,17,6.0,LAN,IND,89,2,?,?,0
13,16,0.0,KC,DEN,89,10,?,?,0
20,10,12.0,PHA,DAL,89,14,?,?,0
42,7,7.0,NYJ,NE,90,16,?,?,0
16,14,1.5,WAS,NO,89,4,?,?,1
31,3,5.0,DET,TB,91,5,?,?,0
7,17,9.0,CLE,PIT,89,6,?,?,0
24,27,3.5,MIA,KC,89,16,?,?,0
7,28,1.5,CIN,LAA,89,9,?,?,1
37,13,7.5,MIA,CIN,91,15,Monday_Night,?,0
23,10,9.5,SF,ATL,89,13,?,?,1
23,20,6.5,GB,DET,89,8,?,yes,0
3,23,2.5,DET,PIT,89,4,?,?,0
23,7,4.0,SF,PHA,91,9,?,?,1
26,13,6.5,SF,WAS,90,2,?,?,0
17,24,10.0,CIN,SEA,89,14,?,?,0
29,14,5.5,NO,NYJ,89,6,?,?,0
31,17,5.0,WAS,NO,90,11,?,?,0
27,0,6.0,PHA,DAL,89,12,Thursday,?,1
24,20,7.0,PHX,DAL,89,10,?,?,0
30,7,6.5,BUF,IND,89,10,?,?,0
24,7,9.0,NYG,IND,90,9,Monday_Night,?,1
31,27,3.5,DAL,ATL,91,17,?,?,0
34,27,4.0,HOU,SD,89,2,?,?,1
30,24,9.0,CHI,ATL,90,10,?,?,0
24,7,3.0,BUF,CIN,89,12,?,?,0
24,20,3.0,DET,MIN,91,6,?,?,0
48,20,9.5,PHA,NE,90,9,?,?,0
24,7,5.5,LAA,CIN,90,15,?,?,0
13,10,3.0,SEA,DEN,91,13,?,?,0
27,6,11.0,WAS,LAN,91,14,?,?,1
14,17,3.0,SF,MIN,91,3,?,?,1
29,14,5.0,WAS,BUF,90,17,?,?,0
26,16,4.0,CIN,PIT,89,5,?,?,1
21,9,4.0,PIT,ATL,90,9,?,?,0
41,10,10.0,CIN,PIT,89,2,?,?,0
27,7,2.5,MIA,IND,90,8,?,?,1
35,16,13.0,BUF,CIN,91,8,Monday_Night,?,0
23,20,3.0,MIA,GB,89,7,?,?,0
24,14,11.0,NYG,DET,89,2,?,?,0
23,9,6.0,SEA,LAN,91,17,Sunday_Night,?,0
20,3,2.0,PHX,DAL,90,6,?,?,0
7,27,6.0,MIN,GB,91,17,Saturday,?,0
21,10,1.0,KC,CHI,90,17,Saturday,?,1
33,20,2.5,SEA,NE,90,5,?,?,1
38,24,7.0,CLE,NYJ,89,2,?,?,0
7,30,2.0,BUF,MIA,90,2,?,?,1
20,14,9.5,MIN,LAN,91,16,?,?,0
3,10,5.0,PHA,WAS,89,10,?,?,0
38,31,3.0,LAA,DET,90,14,Monday_Night,?,1
17,34,3.0,MIN,CHI,91,11,Monday_Night,?,0
13,14,1.5,PHX,TB,89,12,?,?,0
31,22,2.0,PIT,TB,89,16,?,?,1
20,0,13.0,NYG,DET,90,11,?,?,0
47,27,1.0,ATL,HOU,90,1,?,?,0
20,13,5.0,SEA,NYJ,91,2,?,?,0
16,13,1.5,LAA,DEN,89,13,?,yes,0
27,13,4.0,CHI,GB,90,5,?,?,0
20,16,6.0,MIA,NYJ,90,5,?,?,0
20,24,3.5,HOU,CLE,89,16,Saturday,?,0
37,7,7.0,KC,NE,90,13,?,?,1
40,14,3.5,LAA,SD,89,1,?,?,0
29,21,6.0,MIN,CIN,89,16,Monday_Night,?,0
3,39,5.0,NYJ,SD,90,6,?,?,0
17,27,6.0,WAS,DAL,90,12,Thursday,?,1
45,0,7.5,WAS,DET,91,1,Sunday_Night,?,0
27,6,1.5,NO,ATL,91,5,?,?,1
35,31,7.0,BUF,MIA,91,1,?,?,0
17,21,2.0,LAA,ATL,91,4,?,?,1
20,17,3.0,SF,MIN,90,17,?,?,1
43,7,6.0,ATL,TB,91,12,?,?,0
20,9,9.5,NYG,PHX,91,6,?,?,0
7,17,3.5,DET,MIN,90,10,?,?,0
0,20,1.0,NE,CLE,91,2,?,?,0
19,10,4.0,PHX,DAL,89,8,?,?,1
13,17,1.0,NO,DAL,90,13,?,?,1
31,7,3.0,NYG,LAN,90,10,?,?,1
17,3,5.5,TB,IND,91,17,?,?,0
16,19,2.5,DEN,SD,89,16,?,?,1
15,3,9.0,NYG,SEA,89,11,?,?,0
21,24,3.5,SEA,MIN,90,11,?,?,0
27,28,13.5,NYJ,IND,91,11,?,?,0
31,7,14.0,SF,TB,90,11,?,?,0
30,24,3.0,SF,IND,89,1,?,?,1
22,13,7.5,DEN,GB,90,17,?,?,0
38,24,3.0,BUF,LAA,90,5,Sunday_Night,?,0
17,14,1.5,NYJ,CLE,91,6,?,?,1
23,3,9.5,MIA,PHX,90,9,?,?,0
23,20,3.5,NYG,PIT,91,7,Monday_Night,?,1
42,7,6.5,KC,MIA,91,7,?,?,0
7,30,4.0,NYG,PHA,91,10,Monday_Night,?,1
20,17,0.0,LAN,NO,89,12,Sunday_Night,yes,1
26,0,9.0,SF,CHI,89,16,?,?,0
24,10,5.5,MIN,TB,89,10,?,?,1
13,14,3.5,CIN,CLE,91,3,?,?,1
22,17,17.5,BUF,NE,91,10,?,?,0
20,24,6.5,KC,DEN,91,12,?,?,0
27,21,1.5,ATL,DAL,89,2,?,?,0
16,13,4.0,LAA,DEN,91,2,?,?,0
10,26,6.0,PHA,PHX,91,2,?,?,0
37,20,11.0,SF,NE,89,7,?,?,0
14,36,1.5,SD,PIT,90,5,?,?,1
32,3,6.0,MIN,NO,90,2,?,?,0
28,10,3.0,PIT,NE,89,15,?,?,0
17,23,2.5,ATL,TB,90,13,?,?,1
21,16,3.0,CIN,SD,90,2,?,?,1
14,28,6.5,BUF,DEN,89,2,Monday_Night,?,0
21,38,3.0,CHI,DET,90,15,Sunday_Night,?,1
19,16,7.0,NYJ,GB,91,10,?,yes,0
20,3,3.5,LAA,PIT,90,3,?,?,0
24,21,6.5,KC,LAA,91,9,Monday_Night,?,0
19,13,3.0,MIA,IND,89,9,?,?,0
0,21,4.0,CLE,CIN,89,13,?,?,0
13,16,8.0,BUF,NE,91,13,?,?,1
13,41,2.5,CHI,MIN,90,12,?,?,1
10,3,5.5,NO,SF,91,11,?,?,0
47,27,7.0,CHI,DET,89,3,?,?,1
23,10,8.5,SF,NYJ,89,8,?,?,1
17,0,6.0,CHI,SEA,90,1,?,?,0
16,13,2.5,CHI,DEN,90,11,?,yes,1
31,21,6.0,LAN,ATL,89,1,?,?,1
24,14,3.5,BUF,MIA,90,16,?,?,0
14,34,7.5,MIA,PIT,89,12,?,?,0
23,20,3.0,HOU,NYJ,91,7,?,?,1
21,38,6.5,DET,TB,90,1,?,?,0
37,42,3.0,WAS,PHA,89,2,?,?,0
27,7,9.0,DAL,PHX,91,10,?,?,0
41,14,9.5,DEN,SEA,89,12,?,?,0
24,21,6.5,LAA,NE,89,12,?,?,0
20,13,4.0,NYG,SD,89,7,?,?,1
14,34,6.0,MIN,DET,91,13,?,?,0
23,41,3.0,MIA,NYJ,91,5,?,?,1
22,24,3.0,WAS,PHA,91,17,?,?,1
31,30,6.5,WAS,ATL,89,15,?,?,1
41,10,5.5,DAL,PHX,90,15,?,?,0
34,20,5.0,DET,NYJ,91,15,?,?,0
23,17,2.0,PIT,KC,89,8,?,?,0
23,15,6.5,NYG,MIN,90,14,?,?,0
13,14,3.0,CHI,GB,89,9,?,?,1
47,17,2.5,HOU,LAA,91,1,?,?,0
22,16,1.5,NE,IND,89,13,?,?,0
35,7,7.5,NYG,PHX,89,3,?,?,0
44,24,7.0,LAN,ATL,90,7,?,?,0
7,29,2.0,NE,CIN,91,17,?,?,1
20,13,8.0,KC,SEA,91,4,?,?,0
24,36,3.0,LAN,GB,90,1,?,?,1
24,10,9.0,HOU,IND,90,3,?,?,0
24,21,5.5,SF,HOU,90,5,?,?,1
17,13,0.0,LAA,SEA,90,2,Sunday_Night,?,1
20,10,7.5,GB,TB,90,12,?,?,0
16,31,2.5,CIN,SEA,90,4,Monday_Night,?,1
20,30,1.0,PHA,NO,89,15,Monday_Night,?,1
31,14,2.0,ATL,LAN,91,9,?,?,0
10,20,2.5,NO,TB,89,3,?,?,1
21,27,5.5,LAN,PHA,90,3,?,?,0
35,31,9.5,LAN,DAL,89,13,?,?,1
24,34,7.0,SEA,PHX,89,2,?,?,0
23,7,5.0,MIN,GB,90,13,Sunday_Night,?,0
17,3,8.0,MIN,TB,89,4,?,?,0
30,13,7.0,NYG,DAL,89,4,?,?,1
22,31,1.5,GB,DET,89,10,?,?,1
12,13,5.0,SF,LAN,89,4,?,?,0
20,10,2.5,CHI,LAN,89,8,?,?,0
21,14,7.0,NYG,PHX,91,11,?,?,1
17,16,2.5,GB,TB,89,13,?,?,1
26,21,3.5,KC,MIA,89,13,?,?,0
32,24,4.5,PHA,MIN,90,6,Monday_Night,?,0
31,34,4.5,LAN,CIN,90,5,?,yes,0
31,13,7.0,GB,DAL,89,5,?,?,0
13,25,3.5,PHA,DAL,91,16,?,?,0
16,0,7.5,LAA,IND,91,3,?,?,0
14,34,1.5,PIT,HOU,90,17,Sunday_Night,?,1
21,24,1.5,MIN,KC,90,1,?,?,1
3,13,14.0,WAS,DAL,89,9,Sunday_Night,?,0
27,34,7.0,MIN,DET,90,5,?,?,0
23,7,5.0,HOU,LAA,89,11,?,?,0
23,21,7.5,PHA,PHX,90,17,Saturday,?,1
26,20,5.0,PIT,SD,91,1,?,?,0
6,12,1.5,SF,LAA,91,5,?,?,1
23,14,2.0,DET,GB,91,2,?,?,0
13,6,4.0,NO,PHA,91,7,?,?,1
21,29,3.5,NYJ,IND,90,15,?,?,0
21,24,2.0,CLE,NYJ,90,2,?,?,1
21,24,12.0,WAS,DAL,91,13,?,?,0
28,17,2.5,CLE,HOU,89,8,?,?,0
19,20,3.0,MIN,GB,89,12,?,?,1
23,17,0.0,SEA,LAA,89,15,Sunday_Night,?,0
34,10,2.5,DET,DAL,91,9,?,?,0
42,14,7.5,HOU,DEN,91,6,?,?,0
16,13,5.5,CLE,DEN,89,4,?,?,0
24,7,3.0,NO,LAN,91,3,Sunday_Night,?,0
23,26,7.0,MIN,NE,91,8,?,yes,1
20,17,6.0,NO,LAN,90,17,Monday_Night,?,0
17,10,10.0,MIA,NE,90,7,Thursday,?,0
3,21,3.0,GB,KC,89,14,?,?,0
31,0,10.0,PHA,GB,90,15,?,?,0
24,10,2.5,GB,MIN,90,8,?,?,0
17,10,3.0,PIT,CLE,91,17,?,?,0
13,26,6.0,MIN,TB,90,15,?,?,1
30,28,9.5,WAS,PHX,89,5,?,?,0
17,34,8.5,DEN,PIT,90,6,?,?,0
48,17,3.5,HOU,CIN,90,6,?,?,0
13,17,3.5,NYG,BUF,90,15,Saturday,?,0
31,13,6.0,SF,NO,89,9,Monday_Night,?,0
28,24,2.5,NO,NE,89,10,?,?,1
21,23,3.0,GB,TB,89,1,?,?,0
20,24,12.5,HOU,NE,91,4,?,?,1
23,21,7.0,GB,ATL,89,4,?,?,0
23,20,2.0,TB,DET,90,3,?,?,0
17,6,8.0,MIA,IND,91,2,?,?,0
7,13,3.0,CIN,SEA,91,6,?,?,0
22,27,1.0,DEN,MIN,90,9,Sunday_Night,?,1
9,10,1.0,MIN,PHA,89,11,?,?,1
43,17,12.0,MIN,ATL,89,14,?,?,0
34,7,7.0,MIN,PHX,91,7,?,?,0
31,14,6.0,ATL,LAN,91,15,?,?,1
24,6,10.0,SF,DAL,90,10,Sunday_Night,?,1
61,7,3.5,CIN,HOU,89,15,?,?,0
26,6,5.0,CHI,TB,90,9,?,?,1
26,24,6.0,HOU,CIN,89,10,Monday_Night,?,0
31,7,4.0,LAA,SEA,91,12,?,?,0
34,0,6.5,KC,CLE,90,4,?,?,0
20,17,2.5,DAL,GB,91,6,?,?,1
34,20,6.0,DEN,KC,89,1,?,?,0
32,28,8.0,WAS,TB,89,7,?,?,0
17,3,3.0,MIA,NYJ,90,10,?,?,1
23,20,8.0,BUF,NYJ,91,3,?,?,1
9,6,6.5,DEN,NE,91,9,?,?,1
42,6,19.5,BUF,IND,91,7,?,?,0
34,35,4.5,NO,GB,89,2,?,?,1
20,24,1.0,LAA,SEA,89,4,?,?,0
14,21,4.0,NO,DET,89,13,?,?,1
41,38,10.0,LAN,GB,89,3,?,?,0
30,13,5.5,MIA,CLE,90,12,?,?,1
21,10,6.5,SF,BUF,89,15,?,?,0
23,7,12.5,NO,TB,91,8,?,?,0
31,7,5.5,BUF,IND,90,14,?,?,1
20,7,7.5,MIN,DET,89,7,?,?,1
38,7,5.5,MIN,HOU,89,1,?,?,0
17,14,1.5,CLE,PIT,91,9,?,?,0
30,10,3.0,SEA,DET,90,17,?,?,0
21,24,2.5,DET,GB,90,4,?,?,0
27,40,0.0,DEN,DET,90,12,Thursday,?,1
45,14,12.5,BUF,PHX,90,10,?,?,0
13,20,7.5,KC,SD,89,15,?,?,0
24,14,2.0,NYG,MIN,89,8,Monday_Night,?,0
16,17,3.0,DEN,LAA,91,11,?,?,0
12,14,2.5,LAA,SD,89,10,Sunday_Night,?,1
31,7,5.5,PHA,SEA,89,1,?,?,0
9,7,2.0,KC,LAA,90,9,?,?,0
31,21,6.5,DEN,LAA,89,3,?,?,0
20,17,4.0,LAA,LAN,91,8,?,?,0
34,20,2.0,PHX,ATL,89,7,?,?,0
24,28,3.0,DEN,PHA,89,8,?,?,0
31,14,12.0,PHA,PHX,89,16,?,?,0
23,16,3.0,HOU,PIT,89,13,?,?,1
