date,plant-stand,precip,temp,hail,crop-hist,area-damaged,severity,seed-tmt,germination,plant-growth,leaves,leafspots-halo,leafspots-marg,leafspot-size,leaf-shread,leaf-malf,leaf-mild,stem,lodging,stem-cankers,canker-lesion,fruiting-bodies,external-decay,mycelium,int-discolor,sclerotia,fruit-pods,fruit-spots,seed,mold-growth,seed-discolor,seed-size,shriveling,roots,binaryClass
may,?,?,?,?,?,scattered,?,?,?,?,abnorm,absent,dna,dna,?,present,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0
october,lt-normal,gt-norm,norm,yes,same-lst-two-yrs,upper-areas,pot-severe,fungicide,80-89,norm,norm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,present,absent,absent,none,absent,diseased,brown-w/blk-specks,abnorm,present,absent,lt-norm,present,norm,0
june,lt-normal,norm,norm,yes,same-lst-two-yrs,scattered,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
may,lt-normal,gt-norm,norm,?,same-lst-two-yrs,low-areas,?,?,?,abnorm,abnorm,?,?,?,?,?,?,abnorm,?,below-soil,dk-brown-blk,?,absent,absent,none,absent,?,?,?,?,?,?,?,rotted,0
july,lt-normal,norm,lt-norm,yes,same-lst-two-yrs,scattered,severe,none,lt-80,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm,0
july,lt-normal,norm,gt-norm,yes,same-lst-yr,scattered,minor,none,90-100,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,present,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
september,normal,gt-norm,gt-norm,yes,same-lst-yr,whole-field,minor,fungicide,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,absent,none,absent,diseased,colored,norm,absent,absent,norm,absent,norm,0
july,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,whole-field,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,absent,absent,abnorm,yes,above-sec-nde,brown,present,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,1
october,normal,gt-norm,lt-norm,yes,same-lst-two-yrs,upper-areas,minor,fungicide,80-89,norm,abnorm,no-yellow-halos,w-s-marg,lt-1/8,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,none,absent,diseased,colored,abnorm,absent,present,norm,absent,norm,0
september,lt-normal,gt-norm,gt-norm,yes,same-lst-sev-yrs,scattered,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
july,normal,gt-norm,norm,yes,same-lst-two-yrs,whole-field,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,brown,present,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,1
may,normal,gt-norm,norm,yes,same-lst-two-yrs,whole-field,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,1
july,normal,gt-norm,gt-norm,yes,same-lst-sev-yrs,whole-field,minor,none,80-89,norm,norm,absent,dna,dna,absent,absent,absent,norm,yes,absent,tan,absent,absent,absent,none,absent,norm,absent,abnorm,absent,present,norm,absent,norm,0
may,lt-normal,gt-norm,gt-norm,no,same-lst-sev-yrs,low-areas,minor,none,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,1
august,normal,lt-norm,norm,yes,same-lst-two-yrs,whole-field,pot-severe,fungicide,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,norm,0
august,lt-normal,norm,lt-norm,yes,same-lst-sev-yrs,low-areas,pot-severe,fungicide,90-100,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm,0
september,lt-normal,gt-norm,norm,no,same-lst-yr,low-areas,pot-severe,fungicide,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
september,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,whole-field,pot-severe,none,80-89,norm,norm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,diseased,brown-w/blk-specks,abnorm,present,absent,lt-norm,present,norm,0
july,normal,gt-norm,norm,yes,same-lst-yr,scattered,minor,none,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
september,normal,gt-norm,norm,yes,same-lst-yr,low-areas,pot-severe,none,80-89,norm,norm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,present,absent,absent,none,absent,diseased,brown-w/blk-specks,norm,absent,absent,norm,absent,norm,0
july,normal,gt-norm,norm,no,same-lst-yr,low-areas,pot-severe,none,80-89,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,present,lt-norm,absent,rotted,0
august,normal,gt-norm,norm,yes,same-lst-two-yrs,scattered,severe,none,lt-80,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-sec-nde,brown,present,firm-and-dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,0
august,?,?,?,?,same-lst-sev-yrs,upper-areas,?,?,?,abnorm,abnorm,?,?,?,?,?,?,norm,?,?,?,?,?,?,?,?,few-present,?,abnorm,absent,?,lt-norm,?,galls-cysts,0
may,lt-normal,gt-norm,norm,yes,same-lst-yr,scattered,pot-severe,other,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,1
june,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,whole-field,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,1
august,lt-normal,norm,norm,yes,same-lst-two-yrs,upper-areas,minor,none,lt-80,norm,abnorm,yellow-halos,w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
october,lt-normal,gt-norm,gt-norm,yes,same-lst-sev-yrs,scattered,minor,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,absent,none,absent,diseased,colored,norm,absent,absent,norm,absent,norm,0
june,lt-normal,gt-norm,gt-norm,?,same-lst-sev-yrs,low-areas,?,?,?,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,?,above-soil,dk-brown-blk,?,absent,absent,none,absent,?,?,?,?,?,?,?,rotted,0
september,normal,gt-norm,gt-norm,yes,same-lst-two-yrs,scattered,minor,none,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,absent,none,absent,diseased,colored,norm,absent,absent,norm,absent,norm,0
june,lt-normal,gt-norm,gt-norm,?,same-lst-yr,low-areas,?,?,?,abnorm,abnorm,?,?,?,?,?,?,abnorm,?,above-soil,dk-brown-blk,?,absent,absent,none,absent,?,?,?,?,?,?,?,rotted,0
september,normal,lt-norm,norm,yes,same-lst-sev-yrs,upper-areas,pot-severe,none,80-89,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,dna,absent,absent,absent,brown,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
august,normal,gt-norm,norm,yes,same-lst-yr,scattered,pot-severe,none,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
september,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,whole-field,pot-severe,fungicide,90-100,norm,norm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,absent,absent,none,absent,diseased,brown-w/blk-specks,norm,absent,absent,norm,absent,norm,0
october,normal,norm,norm,no,same-lst-two-yrs,scattered,pot-severe,fungicide,90-100,abnorm,norm,absent,dna,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm,0
april,normal,gt-norm,norm,yes,diff-lst-year,scattered,minor,none,90-100,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-soil,brown,absent,firm-and-dry,absent,none,absent,norm,absent,abnorm,absent,present,lt-norm,present,norm,0
june,lt-normal,gt-norm,gt-norm,?,same-lst-two-yrs,low-areas,?,?,?,abnorm,abnorm,?,?,?,?,?,?,abnorm,?,above-soil,dk-brown-blk,?,absent,absent,none,absent,?,?,?,?,?,?,?,rotted,0
august,normal,gt-norm,norm,yes,same-lst-yr,upper-areas,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
august,lt-normal,norm,norm,?,same-lst-two-yrs,low-areas,?,?,?,abnorm,abnorm,?,?,?,?,?,?,abnorm,?,above-sec-nde,dk-brown-blk,?,absent,absent,none,absent,?,?,?,?,?,?,?,rotted,0
october,normal,gt-norm,gt-norm,yes,same-lst-yr,low-areas,minor,fungicide,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,absent,none,absent,diseased,colored,norm,absent,absent,norm,absent,norm,0
july,lt-normal,lt-norm,norm,yes,same-lst-sev-yrs,whole-field,pot-severe,fungicide,lt-80,norm,abnorm,absent,dna,dna,absent,absent,upper-surf,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
may,lt-normal,gt-norm,lt-norm,yes,same-lst-sev-yrs,low-areas,pot-severe,fungicide,lt-80,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm,0
october,normal,gt-norm,gt-norm,yes,same-lst-two-yrs,low-areas,pot-severe,fungicide,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
june,normal,gt-norm,norm,yes,same-lst-two-yrs,upper-areas,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,1
september,lt-normal,norm,gt-norm,no,same-lst-two-yrs,upper-areas,minor,none,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,absent,present,norm,absent,norm,0
september,normal,gt-norm,gt-norm,yes,same-lst-yr,whole-field,pot-severe,fungicide,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
july,normal,gt-norm,norm,yes,same-lst-yr,scattered,pot-severe,none,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,absent,none,absent,diseased,colored,norm,absent,absent,norm,absent,norm,0
september,normal,gt-norm,norm,no,same-lst-two-yrs,upper-areas,minor,other,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,no,above-sec-nde,brown,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
july,normal,gt-norm,norm,yes,same-lst-two-yrs,low-areas,pot-severe,none,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,brown,present,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,1
august,lt-normal,lt-norm,lt-norm,yes,same-lst-sev-yrs,upper-areas,pot-severe,fungicide,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm,0
october,normal,lt-norm,gt-norm,no,same-lst-sev-yrs,whole-field,pot-severe,fungicide,90-100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,norm,0
august,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,scattered,pot-severe,fungicide,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
september,normal,gt-norm,norm,yes,same-lst-two-yrs,scattered,pot-severe,fungicide,90-100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-sec-nde,dna,present,firm-and-dry,absent,none,absent,norm,dna,norm,absent,absent,norm,absent,norm,0
september,lt-normal,gt-norm,norm,yes,same-lst-yr,upper-areas,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
october,lt-normal,norm,norm,yes,same-lst-sev-yrs,whole-field,pot-severe,fungicide,80-89,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm,0
september,normal,gt-norm,gt-norm,yes,same-lst-yr,low-areas,pot-severe,fungicide,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
october,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,upper-areas,minor,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,absent,none,absent,diseased,colored,norm,absent,absent,norm,absent,norm,0
july,normal,norm,norm,no,same-lst-two-yrs,whole-field,minor,none,80-89,abnorm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,present,present,lt-norm,absent,norm,0
september,normal,gt-norm,norm,yes,same-lst-yr,upper-areas,minor,none,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,absent,none,absent,diseased,colored,norm,absent,absent,norm,absent,norm,0
october,normal,norm,norm,no,same-lst-two-yrs,upper-areas,minor,other,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,abnorm,absent,present,norm,absent,norm,0
september,?,gt-norm,gt-norm,?,same-lst-yr,whole-field,?,?,?,norm,norm,?,?,?,?,?,?,abnorm,?,absent,dna,present,absent,absent,none,absent,diseased,brown-w/blk-specks,abnorm,present,present,lt-norm,present,?,0
september,lt-normal,norm,norm,yes,same-lst-two-yrs,whole-field,severe,none,90-100,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,brown,absent,norm,dna,norm,absent,absent,norm,absent,norm,0
june,lt-normal,gt-norm,lt-norm,yes,same-lst-sev-yrs,low-areas,severe,none,lt-80,abnorm,norm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,brown,absent,firm-and-dry,present,none,absent,dna,dna,norm,absent,absent,norm,absent,norm,0
july,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,low-areas,pot-severe,none,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,brown,present,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,1
june,normal,gt-norm,norm,yes,same-lst-two-yrs,upper-areas,pot-severe,none,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,brown,present,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,1
september,lt-normal,gt-norm,gt-norm,no,same-lst-two-yrs,upper-areas,pot-severe,none,80-89,norm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-sec-nde,brown,present,firm-and-dry,absent,none,absent,diseased,brown-w/blk-specks,norm,absent,absent,norm,absent,norm,0
september,normal,lt-norm,gt-norm,no,same-lst-two-yrs,upper-areas,pot-severe,none,90-100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,norm,0
october,lt-normal,gt-norm,norm,yes,same-lst-yr,low-areas,pot-severe,fungicide,90-100,norm,norm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,present,absent,absent,none,absent,diseased,brown-w/blk-specks,abnorm,present,absent,lt-norm,present,norm,0
april,normal,gt-norm,gt-norm,yes,same-lst-two-yrs,low-areas,pot-severe,other,80-89,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,1
september,normal,gt-norm,norm,yes,same-lst-sev-yrs,scattered,minor,fungicide,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
august,lt-normal,gt-norm,norm,yes,same-lst-two-yrs,low-areas,minor,fungicide,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,absent,none,absent,diseased,colored,norm,absent,absent,norm,absent,norm,0
july,lt-normal,gt-norm,gt-norm,no,same-lst-two-yrs,scattered,pot-severe,none,lt-80,abnorm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
october,normal,norm,gt-norm,yes,same-lst-sev-yrs,whole-field,minor,none,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,abnorm,yes,above-sec-nde,dk-brown-blk,present,firm-and-dry,absent,none,absent,diseased,brown-w/blk-specks,abnorm,absent,absent,norm,absent,norm,0
october,normal,norm,norm,yes,same-lst-two-yrs,whole-field,minor,fungicide,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
may,lt-normal,gt-norm,lt-norm,yes,same-lst-two-yrs,low-areas,severe,fungicide,80-89,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,above-soil,dk-brown-blk,absent,absent,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm,0
october,normal,lt-norm,gt-norm,no,diff-lst-year,upper-areas,pot-severe,none,90-100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,no,absent,tan,absent,absent,absent,black,present,norm,dna,norm,absent,absent,norm,absent,norm,0
june,lt-normal,gt-norm,lt-norm,yes,same-lst-yr,upper-areas,pot-severe,none,lt-80,norm,abnorm,yellow-halos,no-w-s-marg,lt-1/8,present,present,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,rotted,0
september,lt-normal,gt-norm,norm,yes,same-lst-sev-yrs,whole-field,minor,fungicide,lt-80,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,present,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
august,lt-normal,gt-norm,gt-norm,no,same-lst-yr,low-areas,minor,fungicide,90-100,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,no,above-sec-nde,dk-brown-blk,present,firm-and-dry,absent,none,absent,diseased,brown-w/blk-specks,norm,absent,absent,norm,absent,norm,0
september,normal,gt-norm,gt-norm,yes,same-lst-two-yrs,whole-field,minor,fungicide,80-89,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,0
july,normal,gt-norm,norm,no,same-lst-sev-yrs,whole-field,minor,fungicide,80-89,norm,norm,absent,dna,dna,absent,absent,absent,norm,yes,absent,tan,absent,absent,absent,none,absent,norm,absent,abnorm,absent,present,norm,absent,norm,0
june,lt-normal,gt-norm,norm,no,same-lst-yr,low-areas,severe,none,lt-80,abnorm,abnorm,absent,dna,dna,absent,absent,absent,abnorm,yes,below-soil,dk-brown-blk,absent,firm-and-dry,absent,none,absent,dna,dna,norm,absent,absent,norm,absent,norm,0
september,normal,gt-norm,gt-norm,?,same-lst-yr,whole-field,?,?,90-100,norm,norm,?,?,?,?,?,?,abnorm,?,absent,dna,present,absent,absent,none,absent,diseased,brown-w/blk-specks,abnorm,present,present,lt-norm,present,?,0
may,normal,gt-norm,norm,yes,same-lst-sev-yrs,whole-field,pot-severe,none,90-100,norm,abnorm,no-yellow-halos,w-s-marg,gt-1/8,absent,absent,absent,norm,yes,absent,dna,absent,absent,absent,none,absent,norm,absent,norm,absent,absent,norm,absent,norm,1
