ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,binaryClass
3.5,7.8,202.0,431.0,200.0,74.0,5.0,1302,7.7,199.0,184,78.3,4.7,1307,7.6,124.0,269.0,96.0,75.0,0.4,1334,7.4,17.0,63.0,20.0,85.0,0.05,1473.0,37.7,47.8,91.5,86.3,76.6,91.6,85.4,90.0,1
0.35,7.6,120.0,344.0,136.0,54.4,4.5,993,7.5,?,188,55.3,3.0,972,7.6,?,259.0,70.0,48.6,0.2,921,7.5,16.0,97.0,17.0,51.8,0.03,903.0,?,62.8,93.3,?,62.5,86.7,71.8,87.5,0
2.0,8.0,125.0,324.0,362.0,35.9,5.0,1093,7.7,297.0,804,32.8,13.0,1086,7.9,84.0,204.0,124.0,53.2,0.6,1105,7.9,28.0,128.0,14.0,74.3,0.02,1008.0,71.7,84.6,95.4,66.7,37.3,77.6,60.5,96.1,0
0.6,7.9,85.0,269.0,110.0,?,1.5,1342,7.8,139.0,198,?,4.0,1325,7.8,65.0,168.0,65.0,?,0.2,1362,7.9,15.0,?,23.0,?,0.0,1375.0,53.2,67.2,95.0,76.9,?,82.4,?,79.1,0
1.9,7.9,195.0,428.0,210.0,69.5,6.5,1835,8.2,194.0,250,56.8,3.5,1873,8.2,121.0,289.0,104.0,67.3,0.2,1855,8.0,15.0,75.0,22.0,72.7,0.01,1820.0,37.6,58.4,94.3,87.6,74.0,92.3,82.5,89.5,0
1.6,7.7,203.0,357.0,222.0,58.6,3.0,1828,7.6,215.0,208,73.1,5.0,1817,7.6,98.0,169.0,86.0,65.1,0.2,1890,7.6,9.0,73.0,13.0,?,0.0,1868.0,54.4,58.7,96.0,90.8,56.8,95.6,79.6,94.1,0
6.45,7.5,161.0,392.0,266.0,48.1,6.0,1156,7.8,252.0,208,47.1,3.5,1105,7.9,110.0,238.0,82.0,78.0,0.4,1108,7.7,15.0,59.0,13.0,83.1,0.02,1035.0,56.3,60.6,88.6,86.4,75.2,90.7,84.9,95.1,0
0.8,7.8,169.0,337.0,132.0,75.8,2.5,1568,7.9,192.0,204,68.6,4.5,1526,7.9,137.0,332.0,126.0,77.8,1.8,1516,7.7,14.0,71.0,14.0,94.3,0.02,1450.0,28.6,38.2,60.0,89.8,78.6,91.7,78.9,89.4,0
1.0,7.6,202.0,426.0,248.0,80.6,5.5,2310,7.7,326.0,404,56.4,7.0,2180,7.7,142.0,280.0,146.0,65.8,0.6,1909,7.7,33.0,92.0,23.0,73.0,0.02,1813.0,56.4,63.9,92.1,76.8,67.1,83.7,78.4,90.7,0
0.88,7.6,153.0,464.0,274.0,55.5,5.5,1149,7.7,142.0,284,53.5,6.0,1165,7.7,82.0,228.0,74.0,75.7,0.2,1157,7.7,21.0,92.0,18.0,82.2,0.1,1180.0,42.3,73.9,96.7,74.4,59.6,86.3,80.2,93.4,1
1.5,7.5,277.0,523.0,324.0,67.9,7.0,1817,7.6,315.0,348,56.3,9.0,1816,7.8,154.0,297.0,84.0,66.7,0.2,1829,7.7,21.0,53.0,19.0,77.9,0.0,1819.0,51.1,75.9,98.3,86.4,82.2,92.4,89.9,94.1,0
1.5,7.9,91.0,325.0,122.0,77.0,3.5,1026,7.9,109.0,124,93.5,3.7,1063,7.8,81.0,227.0,64.0,96.9,0.4,983,7.7,15.0,74.0,11.0,100.0,0.0,1039.0,25.7,48.4,89.2,81.5,67.4,83.5,77.2,91.0,0
0.27,7.4,112.0,470.0,172.0,65.1,4.5,1207,7.4,100.0,192,64.6,4.0,1208,7.4,74.0,213.0,69.0,72.5,0.2,1175,7.6,14.0,97.0,15.0,72.0,0.01,1162.0,26.0,64.1,95.0,81.1,54.5,87.5,79.4,91.3,0
3.7,8.1,102.0,269.0,156.0,52.6,2.5,1082,7.9,177.0,152,52.6,2.5,1180,8.0,68.0,165.0,76.0,71.1,0.2,1041,7.8,10.0,54.0,13.0,83.1,0.02,1079.0,61.6,50.0,92.0,85.3,67.3,90.2,79.9,91.7,0
6.0,8.2,185.0,334.0,156.0,60.3,4.0,1987,8.3,217.0,162,64.2,4.0,2100,8.2,121.0,299.0,114.0,64.9,0.5,2050,7.9,16.0,65.0,11.0,80.0,0.03,2040.0,44.2,29.6,87.5,86.8,78.3,91.4,80.5,92.9,0
2.0,7.9,240.0,887.0,314.0,76.4,7.0,2120,7.9,158.0,292,74.0,7.2,2200,7.9,167.0,511.0,136.0,75.0,0.7,2190,7.7,26.0,95.0,23.0,92.2,0.02,2170.0,?,53.4,91.0,84.4,81.4,89.2,89.3,92.7,0
0.5,8.0,?,307.0,196.0,60.2,4.0,1557,8.0,?,228,49.1,5.0,1575,8.0,?,233.0,96.0,62.5,0.3,1620,7.9,?,74.0,26.0,60.0,0.01,1639.0,?,57.9,94.0,?,68.2,?,75.9,86.7,0
1.0,8.1,?,516.0,164.0,75.6,3.5,1548,8.1,?,232,74.1,5.5,1545,7.9,?,326.0,94.0,93.6,0.6,1415,7.6,?,113.0,37.0,95.5,0.02,1409.0,?,59.5,90.0,?,65.3,?,78.1,77.4,0
2.7,8.3,173.0,427.0,208.0,71.2,5.5,1979,8.4,221.0,204,70.6,5.0,1955,8.3,113.0,291.0,82.0,82.9,0.2,1862,7.7,16.0,105.0,20.0,86.0,0.02,1789.0,48.9,59.8,97.0,85.8,63.9,90.8,75.4,90.4,0
1.1,7.6,149.0,412.0,208.0,57.7,4.3,1593,7.7,127.0,194,60.8,4.0,1710,7.7,96.0,298.0,128.0,65.6,0.7,1606,7.8,17.0,110.0,22.0,83.6,0.0,1602.0,24.4,34.0,82.5,82.3,63.1,88.6,73.3,89.4,0
1.5,7.8,120.0,303.0,290.0,?,4.5,1818,7.8,125.0,250,?,4.0,1800,7.8,78.0,192.0,68.0,?,0.2,1846,7.9,10.0,76.0,10.0,?,0.02,1723.0,37.6,72.8,95.0,87.2,60.4,91.7,74.9,96.6,0
1.0,8.1,133.0,288.0,162.0,56.8,2.3,1050,8.1,133.0,152,63.2,2.5,1116,8.0,97.0,220.0,70.0,77.1,0.2,1142,7.9,32.0,128.0,40.0,82.5,0.05,1187.0,27.1,53.9,94.0,67.0,41.8,75.9,55.6,75.3,1
2.24,8.4,195.0,392.0,188.0,70.2,4.0,2790,8.2,218.0,210,66.7,4.0,2680,8.0,130.0,267.0,82.0,78.0,0.3,2550,7.9,18.0,86.0,19.0,78.9,0.0,2520.0,40.4,61.0,93.8,86.2,67.8,90.8,78.1,89.9,0
0.55,7.4,159.0,394.0,170.0,69.4,3.0,1450,7.4,155.0,196,60.2,3.0,1556,7.4,111.0,?,78.0,71.8,0.1,1690,7.6,16.0,110.0,26.0,78.5,0.01,1693.0,28.4,60.2,98.3,85.6,?,89.9,72.1,84.7,0
2.0,7.7,244.0,607.0,380.0,53.7,6.0,2160,7.8,242.0,436,54.1,8.0,2220,7.9,139.0,353.0,164.0,45.9,1.8,2120,8.0,18.0,104.0,26.0,72.3,0.0,2270.0,42.6,62.4,77.5,87.1,70.5,92.6,82.9,93.2,0
0.7,7.7,269.0,423.0,192.0,67.7,6.0,1164,7.9,360.0,266,58.6,7.0,1170,7.9,145.0,314.0,94.0,70.2,0.6,1222,7.7,16.0,110.0,15.0,97.8,0.0,1149.0,59.7,64.7,91.4,89.0,65.0,94.1,74.0,92.2,0
1.5,7.8,174.0,404.0,192.0,63.5,3.5,1056,7.7,182.0,210,61.0,4.5,1064,7.7,140.0,243.0,104.0,76.9,0.4,1078,7.7,13.0,55.0,18.0,83.3,0.0,1165.0,23.1,50.5,91.1,90.7,77.4,92.5,86.4,90.6,0
1.2,7.4,250.0,447.0,252.0,61.1,7.0,1533,7.4,275.0,216,57.4,6.5,1501,7.4,138.0,269.0,90.0,73.3,0.5,1458,7.3,14.0,9.0,20.0,82.5,0.0,1402.0,49.8,58.3,92.3,89.9,96.8,94.4,98.1,92.1,0
15.0,7.5,75.0,133.0,142.0,39.4,2.0,860,7.6,127.0,172,46.5,1.8,838,7.6,73.0,124.0,62.0,67.7,0.3,871,7.3,9.0,32.0,12.0,80.0,0.0,889.0,42.5,64.0,86.1,87.7,74.2,88.0,75.9,91.5,0
1.2,8.2,172.0,345.0,152.0,73.7,4.3,1552,8.2,286.0,156,74.4,3.5,1500,8.2,140.0,310.0,74.0,83.8,0.2,1736,7.8,16.0,85.0,14.0,94.3,0.0,1679.0,51.0,52.6,94.3,88.6,72.6,90.7,75.4,90.8,0
1.2,7.7,156.0,405.0,200.0,74.0,4.0,1856,7.6,178.0,184,71.7,3.5,1976,7.5,128.0,302.0,92.0,78.3,0.3,1920,7.6,19.0,71.0,23.0,78.3,0.01,1706.0,28.1,50.0,91.4,85.2,76.5,87.8,82.5,88.5,0
0.2,7.5,153.0,307.0,124.0,82.3,2.5,1044,7.6,163.0,136,70.6,2.5,1039,7.7,97.0,188.0,62.0,91.9,0.2,1045,7.9,10.0,46.0,12.0,90.0,0.0,1038.0,40.5,54.4,94.0,89.7,75.5,93.5,85.0,90.3,0
2.5,7.8,223.0,443.0,184.0,69.6,4.0,1553,7.9,214.0,186,71.0,3.5,1670,7.9,181.0,345.0,86.0,83.7,0.1,1643,7.8,29.0,86.0,22.0,90.9,0.01,1665.0,15.4,53.8,97.1,84.0,75.1,87.0,80.6,88.0,0
5.2,8.0,?,182.0,134.0,61.2,2.5,1007,8.0,?,190,50.5,3.0,1041,8.0,?,137.0,76.0,84.2,0.2,1106,7.8,?,42.0,11.0,76.4,0.01,1117.0,?,60.0,93.3,?,69.3,?,76.9,91.8,0
2.0,7.8,196.0,353.0,174.0,67.8,4.0,1315,7.8,152.0,162,76.5,3.0,1322,7.7,127.0,270.0,100.0,74.0,0.8,1337,7.6,24.0,71.0,24.0,91.7,0.02,1509.0,16.4,38.3,73.3,81.1,73.7,87.8,79.9,86.2,0
1.2,7.9,283.0,274.0,162.0,59.3,3.0,937,7.9,190.0,178,58.4,2.8,944,7.8,117.0,212.0,78.0,76.9,0.1,970,7.7,28.0,74.0,25.0,88.0,0.0,1060.0,38.4,56.2,98.2,76.1,65.1,90.1,73.0,84.6,0
1.75,7.6,215.0,532.0,282.0,63.8,5.3,1444,7.6,253.0,296,61.5,5.0,1437,7.8,120.0,320.0,90.0,75.6,0.2,1418,7.8,17.0,92.0,15.0,75.3,0.0,1433.0,52.6,69.6,96.0,85.8,71.3,92.1,82.7,94.7,0
0.71,7.7,156.0,276.0,146.0,71.2,3.3,1265,7.7,166.0,206,66.0,4.5,1270,7.7,114.0,176.0,124.0,72.6,0.9,1260,7.7,30.0,43.0,44.0,79.5,0.5,1270.0,31.3,39.8,80.0,73.7,75.6,80.8,84.4,69.9,1
4.5,7.6,175.0,416.0,224.0,51.8,4.5,1463,7.7,183.0,214,57.0,3.5,2120,7.7,105.0,274.0,104.0,62.9,0.8,2250,7.9,18.0,?,21.0,66.7,0.05,2610.0,42.6,51.4,77.1,82.9,?,89.7,?,90.6,1
1.0,8.1,230.0,535.0,242.0,66.9,6.5,1652,7.9,?,264,69.7,5.4,1700,7.9,174.0,322.0,100.0,72.0,0.3,1577,7.5,28.0,101.0,36.0,83.3,0.05,1552.0,?,62.1,94.4,83.9,68.6,87.8,81.1,85.1,0
1.2,7.8,183.0,456.0,232.0,65.5,5.0,1262,7.8,198.0,216,55.6,4.5,1247,7.9,107.0,266.0,84.0,57.1,0.2,1305,7.8,19.0,60.0,12.0,75.0,0.0,1234.0,46.0,61.1,96.7,82.2,77.4,89.6,86.8,94.8,0
0.5,7.6,114.0,521.0,506.0,44.3,7.5,866,7.5,113.0,498,44.2,8.0,882,7.6,58.0,137.0,65.0,78.5,0.1,880,7.9,11.0,44.0,20.0,78.0,0.02,884.0,48.7,86.9,98.8,81.0,67.9,90.4,91.6,96.0,0
0.2,7.6,158.0,375.0,178.0,60.7,3.5,1049,7.7,153.0,168,59.5,3.0,992,7.7,49.0,177.0,56.0,71.4,0.1,910,7.9,9.0,103.0,30.0,64.0,0.05,828.0,68.0,66.7,96.7,81.6,41.8,94.3,72.5,83.1,1
5.8,7.7,192.0,416.0,236.0,57.6,4.5,1447,7.6,296.0,384,54.2,7.0,1445,7.7,148.0,270.0,108.0,66.7,0.4,1380,7.8,13.0,78.0,14.0,71.4,0.02,1408.0,50.0,71.9,94.3,91.2,71.1,93.2,81.3,94.1,0
0.62,7.5,138.0,268.0,154.0,66.2,1.7,890,7.5,105.0,166,64.0,1.5,880,7.7,65.0,157.0,97.0,64.9,0.2,827,7.8,8.0,33.0,13.0,84.6,0.02,858.0,38.1,41.6,86.7,87.7,79.0,94.2,87.7,91.6,1
3.0,7.4,160.0,348.0,194.0,61.9,3.0,1720,7.5,148.0,172,65.1,2.5,1729,7.6,105.0,265.0,80.0,82.5,0.2,1780,7.7,15.0,95.0,28.0,77.1,0.02,1772.0,29.1,53.5,92.0,85.7,64.2,90.6,72.7,85.6,0
1.4,7.6,155.0,392.0,182.0,64.8,4.5,1198,7.7,?,180,66.7,4.0,1264,7.8,34.0,356.0,78.0,79.5,0.4,1245,7.8,12.0,68.0,15.0,72.0,0.01,1248.0,?,56.7,90.0,64.7,80.9,92.3,82.7,91.8,0
4.5,7.8,227.0,526.0,212.0,68.9,4.5,1542,7.8,232.0,240,75.0,5.5,1583,7.8,172.0,411.0,106.0,83.0,0.2,1607,7.4,30.0,99.0,41.0,85.4,0.05,1395.0,25.9,55.8,96.4,82.6,75.9,86.8,81.2,80.7,1
1.95,7.8,255.0,282.0,166.0,67.5,2.0,950,7.8,284.0,172,65.1,2.0,965,7.8,164.0,259.0,112.0,76.8,0.5,971,7.9,13.0,56.0,20.0,80.0,0.02,1093.0,42.3,34.9,75.0,92.1,78.4,94.9,80.1,88.0,1
4.19,7.7,254.0,411.0,174.0,73.6,4.5,1339,7.9,375.0,292,67.1,8.0,1350,7.9,121.0,319.0,102.0,78.4,0.5,1423,7.7,17.0,96.0,19.0,86.3,0.0,1431.0,67.7,65.1,94.4,86.0,69.9,93.3,76.6,89.1,0
1.2,7.8,161.0,281.0,164.0,58.5,2.3,1075,7.8,144.0,192,53.1,2.5,1068,7.8,118.0,233.0,88.0,70.5,0.4,1121,7.8,14.0,63.0,19.0,73.7,0.01,1246.0,18.1,54.2,84.0,88.1,73.0,91.3,77.6,88.4,0
0.76,7.7,168.0,376.0,272.0,45.6,5.3,1052,7.8,136.0,296,45.3,5.6,1063,7.7,97.0,242.0,80.0,72.5,0.2,1083,7.7,14.0,87.0,15.0,100.0,0.01,1070.0,28.7,73.0,96.4,85.6,64.0,91.7,76.9,94.5,0
0.25,8.1,185.0,439.0,256.0,56.3,7.5,2210,7.9,180.0,316,53.2,7.0,2070,7.9,121.0,247.0,102.0,72.6,0.3,1770,7.8,33.0,47.0,21.0,80.0,0.02,1539.0,32.8,67.7,96.4,72.7,81.0,82.2,89.3,91.8,0
0.98,8.0,224.0,400.0,160.0,68.8,4.5,2230,8.2,244.0,178,64.0,5.0,2270,8.0,168.0,392.0,96.0,77.1,0.6,1763,7.7,20.0,94.0,22.0,83.6,0.0,1754.0,31.1,46.1,88.0,88.1,76.0,91.1,76.5,86.3,0
0.7,7.5,95.0,302.0,176.0,59.1,3.0,1120,7.6,94.0,152,59.2,2.5,1145,7.6,48.0,316.0,107.0,64.5,1.2,1155,7.7,19.0,59.0,15.0,77.3,0.05,1040.0,48.9,29.6,52.0,60.4,81.3,80.0,80.5,91.5,1
0.83,8.2,339.0,713.0,356.0,72.5,10.0,2170,8.0,334.0,584,83.6,8.5,2110,7.9,223.0,372.0,116.0,84.5,1.3,2140,7.6,17.0,83.0,12.0,71.7,0.01,2330.0,33.2,80.1,84.7,92.4,77.7,95.0,88.4,96.6,0
3.5,7.6,146.0,329.0,188.0,57.4,2.5,1300,7.6,162.0,132,63.6,2.0,1324,7.6,109.0,243.0,88.0,81.8,0.2,1467,7.5,19.0,94.0,41.0,82.9,0.02,1545.0,32.7,33.3,90.0,82.6,61.3,87.0,71.4,78.2,0
0.9,7.7,156.0,391.0,156.0,53.8,3.5,1358,7.8,161.0,172,58.1,3.0,1412,7.9,116.0,285.0,66.0,72.7,0.3,1460,7.9,11.0,86.0,14.0,50.0,0.0,1425.0,28.0,61.6,91.7,90.5,69.8,92.9,78.0,91.0,0
1.67,7.9,203.0,487.0,168.0,77.4,3.5,1353,8.1,231.0,196,70.4,5.5,1338,8.1,107.0,341.0,60.0,86.7,0.2,1250,7.8,17.0,166.0,15.0,90.0,0.01,1268.0,53.7,69.4,96.4,84.1,51.3,91.6,65.9,91.1,0
2.0,8.1,69.0,126.0,138.0,39.1,1.4,882,8.1,150.0,180,38.9,1.9,902,8.2,53.0,100.0,62.0,59.7,0.1,920,8.0,8.0,52.0,9.0,88.9,0.0,902.0,64.7,65.6,94.7,84.9,48.0,88.4,58.7,93.5,0
2.0,8.1,177.0,407.0,172.0,58.1,2.5,1379,8.0,231.0,248,54.8,4.6,1454,8.0,188.0,379.0,108.0,72.2,0.7,1529,7.5,27.0,95.0,26.0,76.9,0.0,1542.0,18.6,56.5,84.8,85.6,74.9,84.7,76.7,84.9,0
0.12,7.8,223.0,511.0,202.0,63.4,4.7,1473,7.8,228.0,276,59.4,5.5,1584,7.7,122.0,273.0,86.0,72.1,0.2,1510,7.8,22.0,81.0,22.0,81.8,0.02,1504.0,46.5,68.8,96.4,82.0,70.3,?,84.1,89.1,0
1.75,7.7,118.0,295.0,178.0,62.9,3.0,1459,7.7,137.0,236,53.4,4.0,1442,7.7,103.0,231.0,104.0,67.3,0.3,1474,7.6,12.0,72.0,11.0,81.8,0.02,1607.0,24.8,55.9,92.5,88.3,68.8,89.8,75.6,93.8,0
0.1,7.6,159.0,310.0,146.0,68.5,1.6,1096,7.6,131.0,166,71.1,1.7,1083,7.7,98.0,169.0,64.0,84.4,0.2,1112,7.9,21.0,59.0,16.0,70.0,0.01,1083.0,25.2,61.4,91.2,78.6,65.1,86.8,81.0,89.0,0
1.5,8.0,242.0,496.0,176.0,64.8,4.0,2110,7.9,?,236,57.6,4.5,2020,7.8,?,372.0,88.0,68.2,0.2,2250,7.6,19.0,108.0,22.0,65.9,0.02,2120.0,?,62.7,95.6,?,71.0,92.1,78.2,87.5,0
3.0,7.8,217.0,349.0,172.0,69.8,3.5,1454,7.8,174.0,208,65.4,4.0,1487,7.8,98.0,261.0,78.0,76.9,0.2,1360,7.9,?,92.0,20.0,80.0,0.0,1230.0,43.7,62.5,95.0,?,64.8,?,73.6,88.4,0
3.0,7.6,160.0,374.0,168.0,69.0,3.1,1042,7.6,220.0,246,69.9,4.6,1057,7.6,126.0,299.0,112.0,75.0,0.2,1085,7.4,19.0,79.0,28.0,82.0,0.0,1087.0,42.7,54.5,95.7,84.9,73.6,88.1,78.9,83.3,0
1.5,8.2,139.0,294.0,256.0,40.6,3.0,1456,8.1,140.0,260,38.5,2.5,1361,8.0,81.0,172.0,90.0,55.6,0.2,1504,7.7,11.0,55.0,14.0,71.4,0.0,1751.0,42.1,65.4,92.0,86.4,68.0,92.1,81.3,94.5,0
6.0,7.6,236.0,444.0,236.0,62.7,4.9,1400,7.7,259.0,440,50.0,10.0,1439,7.6,140.0,246.0,122.0,59.0,0.3,1458,7.7,24.0,115.0,17.0,70.6,0.05,1480.0,45.9,72.3,97.0,82.9,53.3,89.8,74.1,92.8,1
19.1,7.6,179.0,461.0,298.0,55.7,5.0,1340,7.6,225.0,212,63.2,5.5,1395,7.5,111.0,307.0,84.0,76.2,0.2,1292,7.4,20.0,125.0,24.0,78.3,0.01,1300.0,50.7,60.4,96.4,82.0,59.3,88.8,72.9,91.9,0
0.5,7.6,122.0,338.0,174.0,62.1,5.0,1035,7.7,135.0,216,56.5,5.5,1030,7.7,108.0,244.0,68.0,79.4,0.2,1099,7.6,14.0,44.0,12.0,82.3,0.02,1140.0,20.0,68.5,97.3,87.0,82.0,88.5,87.0,93.1,0
0.4,7.6,136.0,328.0,186.0,67.7,3.0,899,7.6,132.0,170,71.8,2.5,921,7.6,73.0,192.0,61.0,83.6,0.2,872,7.8,11.0,76.0,23.0,76.5,0.02,898.0,?,64.1,94.0,84.9,60.4,91.9,76.8,87.6,0
3.3,7.8,117.0,366.0,500.0,27.2,4.2,3230,7.8,135.0,620,32.3,7.0,3170,7.7,81.0,181.0,106.0,49.1,0.2,3690,7.8,12.0,67.0,12.0,75.0,0.0,3950.0,40.0,82.9,97.1,85.2,63.0,89.7,81.7,97.6,0
1.0,7.7,208.0,427.0,192.0,75.0,4.5,1426,7.7,195.0,236,74.6,7.0,1375,7.7,186.0,334.0,104.0,80.8,0.4,1518,7.4,27.0,78.0,33.0,84.8,0.0,1636.0,4.6,55.9,94.3,85.5,76.6,87.0,81.7,82.8,0
0.9,7.6,203.0,301.0,146.0,68.5,?,1299,7.8,229.0,176,64.8,?,1319,7.9,135.0,242.0,108.0,72.2,?,1375,7.6,?,51.0,32.0,78.8,?,1430.0,41.0,38.6,?,?,78.9,?,83.1,78.1,0
1.2,8.0,235.0,?,228.0,75.4,7.0,1532,8.0,232.0,252,77.8,8.0,1532,7.8,165.0,345.0,92.0,80.4,0.3,1478,7.6,25.0,125.0,25.0,90.6,0.0,1445.0,28.9,63.5,96.9,84.8,63.8,89.4,?,89.0,0
0.4,7.5,221.0,391.0,260.0,46.2,4.3,2140,7.5,173.0,244,52.5,4.5,2090,7.5,112.0,261.0,74.0,78.4,0.2,2000,7.6,17.0,127.0,20.0,78.0,0.0,1950.0,35.3,69.7,96.7,84.8,51.3,92.3,67.5,92.3,0
1.2,7.7,266.0,438.0,200.0,62.0,4.5,1396,7.9,217.0,214,62.6,4.5,1423,7.9,137.0,269.0,74.0,75.7,0.2,1471,7.8,13.0,104.0,16.0,77.5,0.02,1441.0,36.9,65.4,95.6,90.5,61.3,95.1,76.3,92.0,0
0.9,7.5,?,388.0,170.0,76.5,3.5,1130,7.6,?,178,75.3,4.0,1149,7.7,164.0,310.0,102.0,82.4,0.2,1212,7.5,22.0,89.0,33.0,90.9,0.05,1274.0,?,42.7,96.3,86.6,71.3,?,77.1,80.6,1
6.5,7.6,176.0,200.0,176.0,50.0,3.0,859,7.6,149.0,172,51.2,2.0,860,7.6,90.0,178.0,76.0,65.8,0.2,926,7.7,13.0,45.0,18.0,68.9,0.02,1020.0,39.6,55.8,90.0,85.6,74.7,92.6,77.5,89.8,0
3.2,7.6,134.0,404.0,190.0,57.9,5.5,1305,7.7,207.0,212,59.4,5.5,1341,7.8,109.0,325.0,64.0,81.3,0.2,1286,7.6,17.0,95.0,26.0,73.1,0.01,1190.0,47.3,69.8,97.3,84.4,70.8,87.3,76.5,86.3,0
1.2,7.5,200.0,402.0,184.0,64.1,2.8,1127,7.5,188.0,218,63.3,3.0,1140,7.5,122.0,233.0,90.0,77.8,0.2,1200,7.7,17.0,64.0,17.0,76.5,0.0,1317.0,35.1,58.7,95.0,86.1,72.5,91.5,84.1,90.8,0
1.5,8.1,287.0,484.0,308.0,76.6,5.8,1653,8.1,392.0,308,75.3,5.5,1640,8.1,155.0,332.0,118.0,83.1,0.3,1777,7.8,22.0,80.0,16.0,92.5,0.05,1880.0,60.5,61.7,94.5,85.8,75.9,92.3,83.5,94.8,0
7.5,7.9,?,365.0,212.0,62.3,3.5,1339,7.9,?,184,65.2,4.7,1380,7.8,?,321.0,92.0,73.9,0.5,1386,7.5,?,75.0,20.0,75.0,0.05,1377.0,?,50.0,89.4,?,76.6,?,79.5,90.6,1
3.5,8.1,231.0,368.0,162.0,76.5,4.0,1854,8.1,273.0,158,74.7,4.5,1846,8.1,158.0,308.0,76.0,86.8,0.4,1822,7.8,18.0,92.0,15.0,83.3,0.0,1734.0,42.1,51.9,92.2,88.6,70.1,92.2,75.0,90.7,0
8.1,8.0,124.0,463.0,230.0,47.8,?,1599,7.9,123.0,230,48.7,3.0,1586,7.9,94.0,251.0,88.0,63.6,?,1631,7.6,27.0,90.0,20.0,70.0,?,1554.0,23.6,61.7,?,71.3,64.1,78.2,80.6,91.3,0
1.75,7.8,?,340.0,168.0,71.4,2.3,1477,7.8,?,228,64.9,4.5,1379,7.8,?,368.0,110.0,72.7,0.6,1550,7.6,?,?,?,?,?,1445.0,?,51.8,86.7,?,?,?,?,?,0
