Analysis;DatasetID;no_indicators_and_Gain_Imputer_and_No_Feature_Selection;no_indicators_and_Missing_Forest_Imputation_and_No_Feature_Selection;no_indicators_and_Mean-Mode_Imputation_and_No_Feature_Selection;no_indicators_and_PPCA_Imputation_and_No_Feature_Selection;no_indicators_and_Soft_Imputation_and_No_Feature_Selection;no_indicators_and_Denoise_autoencoder_imputation_and_No_Feature_Selection;no_indicators_and_No_Feature_Selection;Indicator_Variables_and_Mean-Mode_Imputation_and_No_Feature_Selection;Indicator_Variables_and_Missing_Forest_Imputation_and_No_Feature_Selection;Indicator_Variables_and_PPCA_Imputation_and_No_Feature_Selection;Indicator_Variables_and_Gain_Imputer_and_No_Feature_Selection;Indicator_Variables_and_Soft_Imputation_and_No_Feature_Selection;Indicator_Variables_and_Denoise_autoencoder_imputation_and_No_Feature_Selection;Indicator_Variables_and_No_Feature_Selection;ppca;softimp;missforest;Gain_Imputer;meanmode;Denoise_autoencoder_imputation;fs;aggressivefs;interpretable;noindicators;best;nofs;indicators;no_indicators_and_Gain_Imputer_and_Feature_Selection;no_indicators_and_Mean-Mode_Imputation_and_Feature_Selection;no_indicators_and_Missing_Forest_Imputation_and_Feature_Selection;no_indicators_and_Soft_Imputation_and_Feature_Selection;no_indicators_and_PPCA_Imputation_and_Feature_Selection;no_indicators_and_Denoise_autoencoder_imputation_and_Feature_Selection;no_indicators_and_Feature_Selection;Indicator_Variables_and_Gain_Imputer_and_Feature_Selection;Indicator_Variables_and_Mean-Mode_Imputation_and_Feature_Selection;Indicator_Variables_and_Soft_Imputation_and_Feature_Selection;Indicator_Variables_and_PPCA_Imputation_and_Feature_Selection;Indicator_Variables_and_Missing_Forest_Imputation_and_Feature_Selection;Indicator_Variables_and_Denoise_autoencoder_imputation_and_Feature_Selection;Indicator_Variables_and_Feature_Selection;no_indicators_and_Gain_Imputer;no_indicators_and_Mean-Mode_Imputation;no_indicators_and_Missing_Forest_Imputation;no_indicators_and_Soft_Imputation;no_indicators_and_PPCA_Imputation;no_indicators_and_Denoise_autoencoder_imputation;Indicator_Variables_and_Gain_Imputer;Indicator_Variables_and_Mean-Mode_Imputation;Indicator_Variables_and_Missing_Forest_Imputation;Indicator_Variables_and_Soft_Imputation;Indicator_Variables_and_PPCA_Imputation;Indicator_Variables_and_Denoise_autoencoder_imputation
MCAR_10_Australian_outcome;452;14;14;14;14;14;14;14;28;28;28;28;28;28;28;28;28;28;28;5;5;5;5;5;5;5;28;5;7;5;8;3;9;5;5;8;5;9;10;4;5;5;7;5;7;3;14;5;28;28;28;28;28;5
MCAR_10_boston_outcome;453;13;13;13;13;13;13;13;26;26;26;26;26;26;26;13;26;26;4;5;4;4;4;3;4;4;26;4;4;5;4;8;4;4;4;4;5;7;4;4;4;4;4;5;13;8;13;4;4;5;26;26;26;4
MCAR_10_churn_outcome;454;20;20;20;20;20;20;20;40;40;40;40;40;40;40;40;40;40;20;40;40;11;9;9;20;20;20;40;8;13;10;12;12;10;9;10;13;13;12;9;10;10;20;20;20;20;12;20;40;40;40;40;40;40
MCAR_10_compas-two-years_outcome;455;13;13;13;13;13;13;13;26;26;26;26;26;26;26;5;26;5;6;13;13;4;6;13;13;13;13;4;5;5;5;5;5;4;4;5;5;5;5;6;4;4;5;13;13;5;5;13;26;5;5;26;5;4
MCAR_10_parkinsons_outcome;512;22;22;22;22;22;22;22;44;44;44;44;44;44;44;44;44;44;22;44;22;3;3;3;22;44;44;44;2;2;1;1;1;1;2;3;3;2;2;1;2;3;22;22;22;22;22;22;44;44;44;44;44;44
MCAR_10_segment_outcome;513;18;18;18;18;18;18;18;37;36;37;37;37;37;37;18;37;6;37;18;37;11;5;5;18;37;37;37;9;11;6;9;7;9;9;11;14;10;10;6;9;11;18;18;18;18;18;18;37;37;6;37;37;37
MCAR_10_stock_outcome;514;9;9;9;9;9;9;9;18;18;18;18;18;18;18;9;18;5;4;5;6;5;4;5;5;5;9;5;4;5;5;6;4;6;5;4;5;6;4;6;5;5;4;5;5;9;9;6;4;5;6;18;18;5
MCAR_10_zoo_outcome;515;16;16;16;15;16;16;15;32;32;32;32;32;32;32;15;4;32;32;3;16;2;2;15;15;32;32;32;1;3;2;4;2;4;2;1;3;4;2;2;4;3;1;16;16;4;15;16;32;3;32;32;32;32
MCAR_25_Australian_outcome;544;14;14;14;14;14;14;14;28;28;28;28;28;28;28;10;8;9;28;8;7;8;5;8;8;8;28;8;7;7;7;5;6;7;8;8;8;8;10;8;7;8;14;7;7;14;14;7;28;8;10;8;10;7
MCAR_25_boston_outcome;545;13;13;13;13;13;13;13;26;26;26;26;26;26;26;13;4;4;7;7;7;4;5;3;4;4;13;4;6;7;4;4;5;7;4;7;7;4;5;4;7;4;7;7;4;4;13;7;7;7;4;4;26;7
MCAR_25_churn_outcome;546;20;20;20;20;20;20;20;40;40;40;40;40;40;40;40;40;9;40;40;40;7;7;7;7;7;40;7;12;10;7;10;8;12;7;10;9;7;9;7;8;7;20;10;7;20;20;20;40;40;8;40;40;40
MCAR_25_compas-two-years_outcome;547;13;13;13;13;13;13;13;26;26;26;26;26;26;26;26;26;13;26;26;7;7;5;13;7;26;26;26;9;7;5;7;4;7;7;2;6;7;4;5;8;8;13;13;13;13;13;7;26;26;5;26;26;8
MCAR_25_parkinsons_outcome;549;22;22;22;22;22;22;22;44;44;44;44;44;44;44;1;22;44;22;22;22;7;1;1;22;22;22;44;3;3;1;1;1;1;1;6;4;4;1;1;7;7;22;22;22;22;1;22;44;44;44;44;1;7
MCAR_50_Australian_outcome;600;14;14;14;14;14;14;14;28;28;28;28;28;28;28;28;13;28;28;28;11;7;7;7;14;28;28;28;5;7;3;5;12;7;7;6;7;13;6;3;11;11;14;14;3;5;14;7;28;28;28;13;28;11
MCAR_50_boston_outcome;601;13;13;13;13;13;13;13;26;26;25;26;26;26;26;13;26;2;6;13;26;7;4;13;5;7;13;26;8;6;2;7;4;3;6;6;6;7;3;6;4;11;8;13;2;7;13;3;26;6;26;26;3;26
MCAR_50_compas-two-years_outcome;602;13;13;13;13;13;13;13;26;26;26;26;26;26;26;26;26;26;13;26;26;6;6;13;13;13;13;26;6;7;5;6;4;6;6;6;7;6;4;5;6;7;13;7;13;6;4;6;26;26;26;26;26;26
MCAR_25_segment_outcome;550;18;18;18;18;18;18;18;37;36;37;37;37;37;36;37;18;18;15;16;37;8;5;5;18;18;18;36;15;16;5;8;5;13;5;20;19;12;5;10;11;6;18;16;18;18;18;18;19;19;36;37;37;37
MCAR_50_segment_outcome;738;18;18;18;18;18;18;18;37;36;37;37;37;37;36;37;37;36;37;18;37;9;5;36;9;36;36;36;12;11;11;12;2;12;13;13;13;12;3;5;14;16;18;18;8;18;18;18;37;37;36;37;37;37
MCAR_50_churn_outcome;605;20;20;20;20;20;20;20;40;40;40;40;40;40;40;7;40;20;20;40;40;7;8;20;20;20;20;40;7;7;13;14;7;8;13;7;7;9;7;7;8;7;20;20;20;20;20;20;40;40;40;40;7;40
MCAR_50_parkinsons_outcome;736;22;22;22;22;22;22;22;44;44;44;44;44;44;44;2;22;2;22;44;3;2;2;2;1;2;44;2;2;3;3;2;1;2;1;5;4;2;2;2;3;2;22;22;3;22;1;22;44;44;2;2;2;3
MCAR_25_stock_outcome;551;9;9;9;9;9;9;9;18;18;18;18;18;18;18;18;18;9;7;18;18;7;3;7;9;9;9;18;9;7;5;6;5;9;7;11;7;6;5;6;8;6;9;9;9;9;9;9;9;18;18;18;18;18
MCAR_50_stock_outcome;604;9;9;9;9;9;9;9;18;18;18;18;18;18;18;9;18;18;18;9;18;3;3;5;9;18;18;18;9;5;6;6;2;9;7;7;5;5;2;3;6;3;9;9;9;9;9;9;18;18;18;18;18;18
MCAR_25_zoo_outcome;734;16;16;16;16;16;16;16;32;32;32;32;32;32;32;8;32;32;32;32;16;8;3;32;8;32;32;32;2;3;3;4;8;5;8;3;2;4;6;3;3;3;16;3;16;4;8;16;32;32;32;32;32;32
MCAR_10_image_outcome;456;135;?;135;135;135;135;135;270;?;270;270;270;270;270;135;135;?;135;135;135;19;7;13;135;135;135;270;23;25;?;21;14;19;19;23;25;20;14;?;19;19;135;135;?;135;135;135;270;270;?;270;270;270
MCAR_25_image_outcome;548;135;?;135;135;135;135;135;270;?;270;270;270;270;270;135;135;?;135;135;135;24;7;21;135;135;135;270;18;10;?;25;15;24;24;17;10;25;13;?;24;24;135;135;?;135;135;135;270;270;?;270;270;270
MCAR_50_image_outcome;603;135;?;135;135;135;135;135;270;?;270;270;270;270;270;270;135;?;135;135;135;17;6;14;135;135;135;270;10;11;?;10;14;17;17;9;13;12;13;?;17;17;135;135;?;135;135;135;270;270;?;270;270;270
MCAR_10_page-blocks_outcome;739;10;10;10;10;10;10;10;20;20;20;20;20;20;20;10;20;10;12;10;20;10;4;5;10;10;10;10;9;9;10;10;4;9;10;12;10;13;4;10;10;10;10;10;10;10;10;9;11;10;10;20;20;20
MCAR_25_page-blocks_outcome;740;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;10;10;9;10;9;4;4;10;10;10;20;10;9;9;8;3;9;9;8;11;12;3;12;12;12;10;9;10;10;10;10;11;11;20;20;20;20
MCAR_50_page-blocks_outcome;784;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;10;10;20;10;7;4;7;10;10;10;20;8;7;7;8;2;10;7;8;6;9;2;13;6;12;10;10;10;10;10;10;20;20;20;20;20;20
MCAR_50_zoo2_outcome;794;15;15;15;14;15;15;15;31;30;30;31;31;31;31;5;15;30;31;31;31;5;5;30;15;31;31;31;9;11;3;10;9;10;3;3;8;3;5;6;4;5;15;15;15;15;9;15;31;31;30;31;5;31
